"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-7148.506452,2441.473643,-1061.384027
1.000,-7148.683738,2438.259629,-1067.560252
2.000,-7148.855115,2435.043464,-1073.735518
3.000,-7149.020584,2431.825150,-1079.909820
4.000,-7149.180145,2428.604690,-1086.083152
5.000,-7149.333797,2425.382084,-1092.255509
6.000,-7149.481541,2422.157336,-1098.426885
7.000,-7149.623378,2418.930447,-1104.597275
8.000,-7149.759307,2415.701419,-1110.766672
9.000,-7149.889328,2412.470255,-1116.935072
10.000,-7150.013442,2409.236955,-1123.102469
11.000,-7150.131650,2406.001523,-1129.268858
12.000,-7150.243950,2402.763961,-1135.434232
13.000,-7150.350344,2399.524269,-1141.598587
14.000,-7150.450831,2396.282451,-1147.761917
15.000,-7150.545412,2393.038509,-1153.924216
16.000,-7150.634087,2389.792443,-1160.085478
17.000,-7150.716857,2386.544257,-1166.245699
18.000,-7150.793721,2383.293953,-1172.404873
19.000,-7150.864680,2380.041532,-1178.562994
20.000,-7150.929733,2376.786997,-1184.720056
21.000,-7150.988882,2373.530349,-1190.876055
22.000,-7151.042127,2370.271590,-1197.030984
23.000,-7151.089467,2367.010724,-1203.184838
24.000,-7151.130904,2363.747751,-1209.337611
25.000,-7151.166436,2360.482674,-1215.489299
26.000,-7151.196066,2357.215494,-1221.639895
27.000,-7151.219792,2353.946215,-1227.789394
28.000,-7151.237615,2350.674837,-1233.937791
29.000,-7151.249536,2347.401363,-1240.085079
30.000,-7151.255555,2344.125795,-1246.231254
31.000,-7151.255671,2340.848136,-1252.376310
32.000,-7151.249886,2337.568386,-1258.520241
33.000,-7151.238200,2334.286548,-1264.663041
34.000,-7151.220613,2331.002625,-1270.804706
35.000,-7151.197125,2327.716618,-1276.945230
36.000,-7151.167736,2324.428529,-1283.084608
37.000,-7151.132448,2321.138361,-1289.222833
38.000,-7151.091260,2317.846115,-1295.359900
39.000,-7151.044172,2314.551794,-1301.495804
40.000,-7150.991186,2311.255400,-1307.630539
41.000,-7150.932301,2307.956934,-1313.764100
42.000,-7150.867518,2304.656399,-1319.896481
43.000,-7150.796836,2301.353797,-1326.027677
44.000,-7150.720257,2298.049129,-1332.157682
45.000,-7150.637781,2294.742399,-1338.286491
46.000,-7150.549408,2291.433608,-1344.414098
47.000,-7150.455139,2288.122758,-1350.540498
48.000,-7150.354974,2284.809852,-1356.665685
49.000,-7150.248913,2281.494891,-1362.789653
50.000,-7150.136957,2278.177877,-1368.912398
51.000,-7150.019106,2274.858813,-1375.033914
52.000,-7149.895360,2271.537700,-1381.154194
53.000,-7149.765720,2268.214542,-1387.273235
54.000,-7149.630187,2264.889339,-1393.391029
55.000,-7149.488761,2261.562094,-1399.507573
56.000,-7149.341442,2258.232809,-1405.622859
57.000,-7149.188230,2254.901487,-1411.736883
58.000,-7149.029127,2251.568128,-1417.849640
59.000,-7148.864132,2248.232736,-1423.961123
60.000,-7148.693246,2244.895313,-1430.071328
61.000,-7148.516469,2241.555860,-1436.180248
62.000,-7148.333803,2238.214380,-1442.287878
63.000,-7148.145246,2234.870875,-1448.394214
64.000,-7147.950801,2231.525347,-1454.499248
65.000,-7147.750467,2228.177798,-1460.602977
66.000,-7147.544244,2224.828230,-1466.705394
67.000,-7147.332134,2221.476646,-1472.806494
68.000,-7147.114137,2218.123046,-1478.906271
69.000,-7146.890253,2214.767435,-1485.004720
70.000,-7146.660482,2211.409813,-1491.101835
71.000,-7146.424826,2208.050184,-1497.197612
72.000,-7146.183284,2204.688548,-1503.292044
73.000,-7145.935858,2201.324908,-1509.385126
74.000,-7145.682547,2197.959267,-1515.476852
75.000,-7145.423353,2194.591626,-1521.567218
76.000,-7145.158275,2191.221987,-1527.656217
77.000,-7144.887315,2187.850353,-1533.743845
78.000,-7144.610472,2184.476726,-1539.830095
79.000,-7144.327748,2181.101108,-1545.914962
80.000,-7144.039143,2177.723502,-1551.998441
81.000,-7143.744658,2174.343908,-1558.080526
82.000,-7143.444292,2170.962330,-1564.161213
83.000,-7143.138047,2167.578770,-1570.240494
84.000,-7142.825923,2164.193229,-1576.318365
85.000,-7142.507921,2160.805710,-1582.394821
86.000,-7142.184041,2157.416215,-1588.469856
87.000,-7141.854284,2154.024747,-1594.543464
88.000,-7141.518651,2150.631307,-1600.615641
89.000,-7141.177142,2147.235897,-1606.686380
90.000,-7140.829757,2143.838520,-1612.755676
91.000,-7140.476498,2140.439178,-1618.823524
92.000,-7140.117364,2137.037874,-1624.889918
93.000,-7139.752357,2133.634608,-1630.954853
94.000,-7139.381477,2130.229384,-1637.018324
95.000,-7139.004724,2126.822203,-1643.080324
96.000,-7138.622100,2123.413069,-1649.140849
97.000,-7138.233605,2120.001982,-1655.199893
98.000,-7137.839240,2116.588945,-1661.257450
99.000,-7137.439004,2113.173961,-1667.313516
100.000,-7137.032900,2109.757031,-1673.368084
101.000,-7136.620927,2106.338158,-1679.421150
102.000,-7136.203086,2102.917343,-1685.472707
103.000,-7135.779379,2099.494590,-1691.522751
104.000,-7135.349804,2096.069900,-1697.571276
105.000,-7134.914364,2092.643276,-1703.618277
106.000,-7134.473058,2089.214719,-1709.663747
107.000,-7134.025888,2085.784232,-1715.707683
108.000,-7133.572855,2082.351817,-1721.750077
109.000,-7133.113958,2078.917476,-1727.790926
110.000,-7132.649198,2075.481212,-1733.830223
111.000,-7132.178577,2072.043027,-1739.867962
112.000,-7131.702095,2068.602922,-1745.904140
113.000,-7131.219753,2065.160900,-1751.938749
114.000,-7130.731551,2061.716964,-1757.971786
115.000,-7130.237490,2058.271116,-1764.003243
116.000,-7129.737571,2054.823357,-1770.033117
117.000,-7129.231794,2051.373690,-1776.061401
118.000,-7128.720161,2047.922117,-1782.088090
119.000,-7128.202672,2044.468640,-1788.113179
120.000,-7127.679327,2041.013262,-1794.136662
121.000,-7127.150128,2037.555985,-1800.158533
122.000,-7126.615076,2034.096811,-1806.178789
123.000,-7126.074170,2030.635743,-1812.197422
124.000,-7125.527412,2027.172782,-1818.214428
125.000,-7124.974803,2023.707930,-1824.229801
126.000,-7124.416343,2020.241191,-1830.243536
127.000,-7123.852033,2016.772566,-1836.255627
128.000,-7123.281873,2013.302057,-1842.266069
129.000,-7122.705866,2009.829667,-1848.274857
130.000,-7122.124011,2006.355398,-1854.281986
131.000,-7121.536309,2002.879252,-1860.287449
132.000,-7120.942761,1999.401231,-1866.291241
133.000,-7120.343369,1995.921338,-1872.293357
134.000,-7119.738131,1992.439575,-1878.293793
135.000,-7119.127051,1988.955944,-1884.292541
136.000,-7118.510127,1985.470448,-1890.289597
137.000,-7117.887362,1981.983088,-1896.284956
138.000,-7117.258755,1978.493867,-1902.278612
139.000,-7116.624309,1975.002788,-1908.270559
140.000,-7115.984023,1971.509852,-1914.260793
141.000,-7115.337898,1968.015061,-1920.249308
142.000,-7114.685936,1964.518418,-1926.236099
143.000,-7114.028137,1961.019926,-1932.221160
144.000,-7113.364502,1957.519586,-1938.204485
145.000,-7112.695032,1954.017401,-1944.186070
146.000,-7112.019727,1950.513373,-1950.165909
147.000,-7111.338589,1947.007504,-1956.143997
148.000,-7110.651619,1943.499797,-1962.120328
149.000,-7109.958817,1939.990254,-1968.094897
150.000,-7109.260185,1936.478876,-1974.067699
151.000,-7108.555722,1932.965668,-1980.038728
152.000,-7107.845431,1929.450629,-1986.007979
153.000,-7107.129311,1925.933764,-1991.975447
154.000,-7106.407365,1922.415074,-1997.941125
155.000,-7105.679592,1918.894561,-2003.905010
156.000,-7104.945994,1915.372229,-2009.867095
157.000,-7104.206572,1911.848078,-2015.827375
158.000,-7103.461326,1908.322112,-2021.785845
159.000,-7102.710257,1904.794332,-2027.742499
160.000,-7101.953367,1901.264742,-2033.697332
161.000,-7101.190657,1897.733343,-2039.650339
162.000,-7100.422127,1894.200137,-2045.601514
163.000,-7099.647778,1890.665127,-2051.550853
164.000,-7098.867611,1887.128315,-2057.498349
165.000,-7098.081627,1883.589704,-2063.443997
166.000,-7097.289828,1880.049295,-2069.387792
167.000,-7096.492214,1876.507092,-2075.329729
168.000,-7095.688785,1872.963096,-2081.269803
169.000,-7094.879544,1869.417310,-2087.208007
170.000,-7094.064491,1865.869735,-2093.144337
171.000,-7093.243627,1862.320375,-2099.078787
172.000,-7092.416953,1858.769232,-2105.011353
173.000,-7091.584470,1855.216307,-2110.942028
174.000,-7090.746179,1851.661604,-2116.870807
175.000,-7089.902082,1848.105125,-2122.797685
176.000,-7089.052178,1844.546871,-2128.722657
177.000,-7088.196469,1840.986845,-2134.645718
178.000,-7087.334957,1837.425051,-2140.566861
179.000,-7086.467641,1833.861489,-2146.486083
180.000,-7085.594524,1830.296162,-2152.403376
181.000,-7084.715606,1826.729072,-2158.318737
182.000,-7083.830888,1823.160223,-2164.232159
183.000,-7082.940372,1819.589616,-2170.143638
184.000,-7082.044058,1816.017253,-2176.053169
185.000,-7081.141947,1812.443137,-2181.960745
186.000,-7080.234041,1808.867271,-2187.866361
187.000,-7079.320340,1805.289656,-2193.770013
188.000,-7078.400846,1801.710295,-2199.671695
189.000,-7077.475560,1798.129190,-2205.571402
190.000,-7076.544482,1794.546343,-2211.469128
191.000,-7075.607615,1790.961758,-2217.364868
192.000,-7074.664958,1787.375436,-2223.258616
193.000,-7073.716513,1783.787379,-2229.150368
194.000,-7072.762282,1780.197591,-2235.040119
195.000,-7071.802265,1776.606073,-2240.927862
196.000,-7070.836463,1773.012827,-2246.813593
197.000,-7069.864877,1769.417857,-2252.697306
198.000,-7068.887510,1765.821164,-2258.578997
199.000,-7067.904361,1762.222751,-2264.458659
200.000,-7066.915431,1758.622620,-2270.336287
201.000,-7065.920723,1755.020773,-2276.211877
202.000,-7064.920237,1751.417214,-2282.085423
203.000,-7063.913974,1747.811943,-2287.956919
204.000,-7062.901936,1744.204965,-2293.826361
205.000,-7061.884123,1740.596280,-2299.693742
206.000,-7060.860537,1736.985891,-2305.559059
207.000,-7059.831179,1733.373801,-2311.422305
208.000,-7058.796050,1729.760013,-2317.283476
209.000,-7057.755152,1726.144528,-2323.142565
210.000,-7056.708484,1722.527348,-2328.999569
211.000,-7055.656050,1718.908477,-2334.854481
212.000,-7054.597849,1715.287917,-2340.707296
213.000,-7053.533883,1711.665669,-2346.558009
214.000,-7052.464153,1708.041737,-2352.406615
215.000,-7051.388661,1704.416123,-2358.253108
216.000,-7050.307407,1700.788829,-2364.097484
217.000,-7049.220393,1697.159857,-2369.939737
218.000,-7048.127621,1693.529210,-2375.779861
219.000,-7047.029090,1689.896891,-2381.617852
220.000,-7045.924803,1686.262902,-2387.453704
221.000,-7044.814760,1682.627244,-2393.287413
222.000,-7043.698964,1678.989922,-2399.118972
223.000,-7042.577415,1675.350936,-2404.948376
224.000,-7041.450114,1671.710289,-2410.775621
225.000,-7040.317063,1668.067984,-2416.600701
226.000,-7039.178262,1664.424024,-2422.423611
227.000,-7038.033714,1660.778410,-2428.244345
228.000,-7036.883420,1657.131145,-2434.062899
229.000,-7035.727380,1653.482231,-2439.879267
230.000,-7034.565596,1649.831671,-2445.693444
231.000,-7033.398069,1646.179468,-2451.505425
232.000,-7032.224801,1642.525623,-2457.315205
233.000,-7031.045793,1638.870139,-2463.122777
234.000,-7029.861046,1635.213018,-2468.928138
235.000,-7028.670561,1631.554264,-2474.731281
236.000,-7027.474341,1627.893877,-2480.532202
237.000,-7026.272385,1624.231862,-2486.330896
238.000,-7025.064695,1620.568219,-2492.127357
239.000,-7023.851274,1616.902953,-2497.921580
240.000,-7022.632121,1613.236064,-2503.713559
241.000,-7021.407238,1609.567556,-2509.503291
242.000,-7020.176628,1605.897430,-2515.290768
243.000,-7018.940290,1602.225690,-2521.075987
244.000,-7017.698227,1598.552338,-2526.858942
245.000,-7016.450439,1594.877376,-2532.639628
246.000,-7015.196928,1591.200806,-2538.418040
247.000,-7013.937696,1587.522632,-2544.194172
248.000,-7012.672743,1583.842855,-2549.968019
249.000,-7011.402072,1580.161478,-2555.739576
250.000,-7010.125683,1576.478503,-2561.508839
251.000,-7008.843578,1572.793934,-2567.275801
252.000,-7007.555758,1569.107771,-2573.040457
253.000,-7006.262224,1565.420019,-2578.802803
254.000,-7004.962979,1561.730678,-2584.562833
255.000,-7003.658023,1558.039753,-2590.320542
256.000,-7002.347358,1554.347244,-2596.075925
257.000,-7001.030985,1550.653155,-2601.828977
