"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-4157.907578,-5072.864965,-3894.395936
1.000,-4153.116913,-5072.912405,-3899.442745
2.000,-4148.322548,-5072.956021,-3904.486053
3.000,-4143.524487,-5072.995813,-3909.525854
4.000,-4138.722732,-5073.031782,-3914.562144
5.000,-4133.917287,-5073.063928,-3919.594919
6.000,-4129.108158,-5073.092253,-3924.624174
7.000,-4124.295346,-5073.116755,-3929.649905
8.000,-4119.478856,-5073.137437,-3934.672107
9.000,-4114.658692,-5073.154298,-3939.690775
10.000,-4109.834857,-5073.167340,-3944.705905
11.000,-4105.007355,-5073.176562,-3949.717493
12.000,-4100.176190,-5073.181965,-3954.725534
13.000,-4095.341366,-5073.183549,-3959.730024
14.000,-4090.502886,-5073.181316,-3964.730957
15.000,-4085.660754,-5073.175265,-3969.728331
16.000,-4080.814974,-5073.165398,-3974.722139
17.000,-4075.965550,-5073.151715,-3979.712378
18.000,-4071.112484,-5073.134215,-3984.699043
19.000,-4066.255783,-5073.112901,-3989.682130
20.000,-4061.395448,-5073.087772,-3994.661633
21.000,-4056.531483,-5073.058829,-3999.637550
22.000,-4051.663894,-5073.026073,-4004.609875
23.000,-4046.792682,-5072.989504,-4009.578603
24.000,-4041.917853,-5072.949122,-4014.543731
25.000,-4037.039409,-5072.904929,-4019.505254
26.000,-4032.157355,-5072.856924,-4024.463167
27.000,-4027.271695,-5072.805109,-4029.417466
28.000,-4022.382432,-5072.749484,-4034.368146
29.000,-4017.489570,-5072.690049,-4039.315204
30.000,-4012.593112,-5072.626805,-4044.258634
31.000,-4007.693064,-5072.559753,-4049.198432
32.000,-4002.789428,-5072.488894,-4054.134594
33.000,-3997.882208,-5072.414227,-4059.067116
34.000,-3992.971409,-5072.335754,-4063.995992
35.000,-3988.057033,-5072.253475,-4068.921218
36.000,-3983.139085,-5072.167390,-4073.842791
37.000,-3978.217569,-5072.077501,-4078.760705
38.000,-3973.292488,-5071.983808,-4083.674957
39.000,-3968.363846,-5071.886311,-4088.585541
40.000,-3963.431648,-5071.785011,-4093.492453
41.000,-3958.495897,-5071.679909,-4098.395690
42.000,-3953.556596,-5071.571005,-4103.295246
43.000,-3948.613750,-5071.458300,-4108.191117
44.000,-3943.667363,-5071.341795,-4113.083299
45.000,-3938.717438,-5071.221490,-4117.971787
46.000,-3933.763979,-5071.097386,-4122.856577
47.000,-3928.806990,-5070.969483,-4127.737665
48.000,-3923.846475,-5070.837782,-4132.615046
49.000,-3918.882438,-5070.702284,-4137.488716
50.000,-3913.914883,-5070.562989,-4142.358670
51.000,-3908.943814,-5070.419899,-4147.224904
52.000,-3903.969234,-5070.273012,-4152.087414
53.000,-3898.991147,-5070.122332,-4156.946195
54.000,-3894.009557,-5069.967857,-4161.801244
55.000,-3889.024469,-5069.809588,-4166.652555
56.000,-3884.035885,-5069.647527,-4171.500124
57.000,-3879.043811,-5069.481674,-4176.343947
58.000,-3874.048249,-5069.312029,-4181.184019
59.000,-3869.049204,-5069.138594,-4186.020337
60.000,-3864.046680,-5068.961368,-4190.852896
61.000,-3859.040680,-5068.780353,-4195.681691
62.000,-3854.031209,-5068.595549,-4200.506718
63.000,-3849.018270,-5068.406957,-4205.327973
64.000,-3844.001867,-5068.214578,-4210.145452
65.000,-3838.982005,-5068.018412,-4214.959150
66.000,-3833.958686,-5067.818460,-4219.769062
67.000,-3828.931916,-5067.614722,-4224.575186
68.000,-3823.901698,-5067.407200,-4229.377515
69.000,-3818.868035,-5067.195894,-4234.176047
70.000,-3813.830933,-5066.980804,-4238.970776
71.000,-3808.790394,-5066.761932,-4243.761698
72.000,-3803.746423,-5066.539278,-4248.548809
73.000,-3798.699023,-5066.312843,-4253.332105
74.000,-3793.648200,-5066.082627,-4258.111582
75.000,-3788.593955,-5065.848632,-4262.887234
76.000,-3783.536295,-5065.610857,-4267.659059
77.000,-3778.475222,-5065.369304,-4272.427051
78.000,-3773.410740,-5065.123973,-4277.191206
79.000,-3768.342854,-5064.874866,-4281.951520
80.000,-3763.271567,-5064.621982,-4286.707989
