"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-2521.890312,-2861.326227,6606.160426
1.000,-2516.676736,-2865.919734,6606.157459
2.000,-2511.461587,-2870.511449,6606.148561
3.000,-2506.244872,-2875.101368,6606.133730
4.000,-2501.026593,-2879.689488,6606.112966
5.000,-2495.806756,-2884.275804,6606.086271
6.000,-2490.585365,-2888.860312,6606.053643
7.000,-2485.362424,-2893.443009,6606.015082
8.000,-2480.137938,-2898.023890,6605.970590
9.000,-2474.911911,-2902.602953,6605.920165
10.000,-2469.684347,-2907.180192,6605.863808
11.000,-2464.455252,-2911.755605,6605.801518
12.000,-2459.224628,-2916.329187,6605.733297
13.000,-2453.992481,-2920.900934,6605.659144
14.000,-2448.758816,-2925.470843,6605.579059
15.000,-2443.523635,-2930.038910,6605.493041
16.000,-2438.286945,-2934.605131,6605.401092
17.000,-2433.048749,-2939.169501,6605.303212
18.000,-2427.809052,-2943.732018,6605.199400
19.000,-2422.567857,-2948.292677,6605.089656
20.000,-2417.325170,-2952.851474,6604.973980
21.000,-2412.080996,-2957.408406,6604.852374
22.000,-2406.835337,-2961.963469,6604.724836
23.000,-2401.588199,-2966.516659,6604.591367
24.000,-2396.339586,-2971.067972,6604.451967
25.000,-2391.089503,-2975.617404,6604.306636
26.000,-2385.837954,-2980.164951,6604.155375
27.000,-2380.584943,-2984.710610,6603.998183
28.000,-2375.330475,-2989.254377,6603.835060
29.000,-2370.074554,-2993.796247,6603.666007
30.000,-2364.817184,-2998.336217,6603.491024
31.000,-2359.558371,-3002.874284,6603.310111
32.000,-2354.298118,-3007.410443,6603.123268
33.000,-2349.036430,-3011.944690,6602.930495
34.000,-2343.773311,-3016.477022,6602.731793
35.000,-2338.508766,-3021.007435,6602.527162
36.000,-2333.242798,-3025.535925,6602.316601
37.000,-2327.975414,-3030.062488,6602.100112
38.000,-2322.706616,-3034.587120,6601.877693
39.000,-2317.436409,-3039.109818,6601.649346
40.000,-2312.164799,-3043.630577,6601.415071
41.000,-2306.891788,-3048.149395,6601.174868
42.000,-2301.617382,-3052.666266,6600.928737
43.000,-2296.341585,-3057.181187,6600.676678
44.000,-2291.064402,-3061.694155,6600.418691
45.000,-2285.785836,-3066.205165,6600.154778
46.000,-2280.505893,-3070.714214,6599.884937
47.000,-2275.224576,-3075.221298,6599.609169
48.000,-2269.941891,-3079.726412,6599.327475
49.000,-2264.657841,-3084.229554,6599.039855
50.000,-2259.372431,-3088.730720,6598.746309
51.000,-2254.085666,-3093.229905,6598.446837
52.000,-2248.797549,-3097.727106,6598.141439
53.000,-2243.508086,-3102.222318,6597.830117
54.000,-2238.217280,-3106.715539,6597.512869
55.000,-2232.925136,-3111.206764,6597.189697
56.000,-2227.631659,-3115.695990,6596.860600
57.000,-2222.336853,-3120.183212,6596.525580
