"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,1079.497668,-2523.837343,-7437.760829
1.000,1084.586916,-2528.107797,-7435.569815
2.000,1089.674680,-2532.376991,-7433.372866
3.000,1094.760956,-2536.644919,-7431.169981
4.000,1099.845740,-2540.911580,-7428.961165
5.000,1104.929029,-2545.176968,-7426.746417
6.000,1110.010818,-2549.441080,-7424.525739
7.000,1115.091103,-2553.703913,-7422.299135
8.000,1120.169882,-2557.965463,-7420.066604
9.000,1125.247150,-2562.225727,-7417.828150
10.000,1130.322903,-2566.484701,-7415.583774
11.000,1135.397137,-2570.742381,-7413.333477
12.000,1140.469848,-2574.998764,-7411.077262
13.000,1145.541033,-2579.253847,-7408.815130
14.000,1150.610689,-2583.507624,-7406.547083
15.000,1155.678810,-2587.760094,-7404.273123
16.000,1160.745393,-2592.011252,-7401.993251
17.000,1165.810434,-2596.261095,-7399.707471
18.000,1170.873931,-2600.509619,-7397.415782
19.000,1175.935877,-2604.756820,-7395.118188
20.000,1180.996271,-2609.002696,-7392.814689
21.000,1186.055108,-2613.247242,-7390.505289
22.000,1191.112384,-2617.490454,-7388.189988
23.000,1196.168095,-2621.732330,-7385.868789
24.000,1201.222238,-2625.972866,-7383.541693
25.000,1206.274809,-2630.212057,-7381.208702
26.000,1211.325804,-2634.449901,-7378.869819
27.000,1216.375219,-2638.686394,-7376.525044
28.000,1221.423050,-2642.921532,-7374.174381
29.000,1226.469294,-2647.155312,-7371.817830
30.000,1231.513947,-2651.387730,-7369.455393
31.000,1236.557005,-2655.618782,-7367.087074
32.000,1241.598463,-2659.848465,-7364.712872
33.000,1246.638320,-2664.076776,-7362.332791
34.000,1251.676569,-2668.303710,-7359.946832
35.000,1256.713209,-2672.529264,-7357.554997
36.000,1261.748234,-2676.753435,-7355.157288
37.000,1266.781642,-2680.976219,-7352.753707
38.000,1271.813428,-2685.197612,-7350.344256
39.000,1276.843589,-2689.417611,-7347.928936
40.000,1281.872121,-2693.636212,-7345.507750
41.000,1286.899019,-2697.853412,-7343.080700
42.000,1291.924281,-2702.069207,-7340.647788
43.000,1296.947903,-2706.283593,-7338.209015
44.000,1301.969880,-2710.496567,-7335.764383
45.000,1306.990209,-2714.708126,-7333.313895
