"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-3694.854019,-5281.264965,4616.454315
1.000,-3691.813448,-5278.446829,4622.106535
2.000,-3688.769538,-5275.624952,4627.755066
3.000,-3685.722289,-5272.799337,4633.399902
4.000,-3682.671705,-5269.969986,4639.041038
5.000,-3679.617786,-5267.136901,4644.678472
6.000,-3676.560535,-5264.300086,4650.312197
7.000,-3673.499954,-5261.459544,4655.942209
8.000,-3670.436044,-5258.615276,4661.568504
9.000,-3667.368807,-5255.767286,4667.191078
10.000,-3664.298246,-5252.915577,4672.809925
11.000,-3661.224362,-5250.060151,4678.425042
12.000,-3658.147157,-5247.201011,4684.036424
13.000,-3655.066633,-5244.338160,4689.644066
14.000,-3651.982791,-5241.471600,4695.247965
15.000,-3648.895634,-5238.601335,4700.848114
16.000,-3645.805164,-5235.727366,4706.444511
17.000,-3642.711383,-5232.849698,4712.037151
18.000,-3639.614292,-5229.968332,4717.626028
19.000,-3636.513893,-5227.083272,4723.211139
20.000,-3633.410189,-5224.194519,4728.792480
21.000,-3630.303181,-5221.302078,4734.370045
22.000,-3627.192871,-5218.405950,4739.943830
23.000,-3624.079261,-5215.506139,4745.513831
24.000,-3620.962353,-5212.602646,4751.080044
25.000,-3617.842149,-5209.695476,4756.642463
26.000,-3614.718651,-5206.784631,4762.201085
27.000,-3611.591861,-5203.870113,4767.755905
28.000,-3608.461780,-5200.951926,4773.306918
29.000,-3605.328411,-5198.030072,4778.854121
30.000,-3602.191756,-5195.104554,4784.397509
31.000,-3599.051816,-5192.175374,4789.937076
32.000,-3595.908594,-5189.242537,4795.472820
33.000,-3592.762092,-5186.306043,4801.004735
34.000,-3589.612311,-5183.365897,4806.532818
35.000,-3586.459253,-5180.422101,4812.057063
36.000,-3583.302921,-5177.474658,4817.577466
37.000,-3580.143316,-5174.523570,4823.094023
38.000,-3576.980441,-5171.568841,4828.606729
39.000,-3573.814296,-5168.610473,4834.115581
40.000,-3570.644886,-5165.648469,4839.620573
41.000,-3567.472210,-5162.682832,4845.121701
42.000,-3564.296272,-5159.713564,4850.618962
43.000,-3561.117073,-5156.740670,4856.112349
44.000,-3557.934615,-5153.764151,4861.601860
45.000,-3554.748900,-5150.784010,4867.087490
46.000,-3551.559931,-5147.800250,4872.569233
47.000,-3548.367709,-5144.812874,4878.047087
48.000,-3545.172236,-5141.821885,4883.521046
49.000,-3541.973515,-5138.827285,4888.991107
50.000,-3538.771547,-5135.829078,4894.457264
51.000,-3535.566334,-5132.827267,4899.919514
52.000,-3532.357878,-5129.821853,4905.377852
53.000,-3529.146182,-5126.812841,4910.832273
54.000,-3525.931247,-5123.800232,4916.282774
55.000,-3522.713075,-5120.784030,4921.729350
56.000,-3519.491669,-5117.764238,4927.171997
57.000,-3516.267030,-5114.740859,4932.610710
58.000,-3513.039160,-5111.713894,4938.045485
59.000,-3509.808062,-5108.683348,4943.476318
60.000,-3506.573738,-5105.649223,4948.903204
61.000,-3503.336189,-5102.611522,4954.326139
62.000,-3500.095418,-5099.570248,4959.745119
63.000,-3496.851426,-5096.525404,4965.160139
64.000,-3493.604216,-5093.476992,4970.571195
65.000,-3490.353790,-5090.425016,4975.978282
66.000,-3487.100150,-5087.369478,4981.381398
67.000,-3483.843297,-5084.310382,4986.780536
68.000,-3480.583235,-5081.247730,4992.175693
69.000,-3477.319965,-5078.181524,4997.566864
70.000,-3474.053488,-5075.111769,5002.954046
71.000,-3470.783808,-5072.038467,5008.337233
72.000,-3467.510926,-5068.961621,5013.716422
73.000,-3464.234844,-5065.881233,5019.091608
74.000,-3460.955565,-5062.797307,5024.462787
75.000,-3457.673090,-5059.709845,5029.829955
76.000,-3454.387422,-5056.618851,5035.193107
77.000,-3451.098562,-5053.524327,5040.552239
78.000,-3447.806513,-5050.426277,5045.907348
79.000,-3444.511277,-5047.324703,5051.258427
80.000,-3441.212856,-5044.219608,5056.605474
81.000,-3437.911252,-5041.110995,5061.948484
82.000,-3434.606467,-5037.998867,5067.287453
83.000,-3431.298503,-5034.883227,5072.622376
84.000,-3427.987362,-5031.764078,5077.953249
