"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,2358.830656,6613.488736,2980.966081
1.000,2356.424935,6616.864660,2975.371857
2.000,2354.017606,6620.235032,2969.774962
3.000,2351.608671,6623.599848,2964.175399
4.000,2349.198131,6626.959107,2958.573175
5.000,2346.785987,6630.312804,2952.968294
6.000,2344.372241,6633.660937,2947.360761
7.000,2341.956894,6637.003504,2941.750582
8.000,2339.539946,6640.340502,2936.137761
9.000,2337.121401,6643.671928,2930.522303
10.000,2334.701258,6646.997779,2924.904213
11.000,2332.279520,6650.318052,2919.283497
12.000,2329.856187,6653.632746,2913.660160
13.000,2327.431261,6656.941856,2908.034206
14.000,2325.004743,6660.245381,2902.405640
15.000,2322.576635,6663.543317,2896.774469
16.000,2320.146938,6666.835663,2891.140696
17.000,2317.715653,6670.122414,2885.504326
18.000,2315.282782,6673.403570,2879.865366
19.000,2312.848326,6676.679126,2874.223819
20.000,2310.412286,6679.949080,2868.579692
21.000,2307.974664,6683.213430,2862.932988
22.000,2305.535461,6686.472172,2857.283713
23.000,2303.094679,6689.725305,2851.631873
24.000,2300.652318,6692.972825,2845.977472
25.000,2298.208381,6696.214729,2840.320515
26.000,2295.762868,6699.451016,2834.661008
27.000,2293.315780,6702.681683,2828.998955
28.000,2290.867120,6705.906726,2823.334361
29.000,2288.416889,6709.126143,2817.667232
30.000,2285.965087,6712.339932,2811.997573
31.000,2283.511717,6715.548089,2806.325389
32.000,2281.056779,6718.750613,2800.650685
33.000,2278.600276,6721.947501,2794.973466
34.000,2276.142207,6725.138749,2789.293736
35.000,2273.682576,6728.324356,2783.611503
36.000,2271.221383,6731.504318,2777.926769
37.000,2268.758629,6734.678634,2772.239541
38.000,2266.294316,6737.847300,2766.549823
39.000,2263.828445,6741.010314,2760.857621
40.000,2261.361017,6744.167674,2755.162940
41.000,2258.892035,6747.319376,2749.465784
42.000,2256.421499,6750.465419,2743.766160
43.000,2253.949411,6753.605799,2738.064072
44.000,2251.475772,6756.740514,2732.359524
45.000,2249.000583,6759.869561,2726.652524
46.000,2246.523846,6762.992939,2720.943074
47.000,2244.045562,6766.110643,2715.231182
48.000,2241.565733,6769.222673,2709.516851
49.000,2239.084360,6772.329024,2703.800087
50.000,2236.601444,6775.429696,2698.080894
51.000,2234.116987,6778.524684,2692.359279
52.000,2231.630990,6781.613987,2686.635247
53.000,2229.143454,6784.697602,2680.908801
54.000,2226.654381,6787.775527,2675.179949
55.000,2224.163773,6790.847758,2669.448693
56.000,2221.671630,6793.914294,2663.715041
57.000,2219.177954,6796.975132,2657.978997
58.000,2216.682747,6800.030270,2652.240566
59.000,2214.186010,6803.079704,2646.499753
60.000,2211.687743,6806.123433,2640.756563
61.000,2209.187950,6809.161454,2635.011002
62.000,2206.686630,6812.193765,2629.263075
63.000,2204.183786,6815.220362,2623.512787
64.000,2201.679418,6818.241244,2617.760143
65.000,2199.173529,6821.256408,2612.005148
66.000,2196.666119,6824.265852,2606.247808
67.000,2194.157190,6827.269573,2600.488127
68.000,2191.646744,6830.267568,2594.726111
69.000,2189.134781,6833.259836,2588.961765
70.000,2186.621303,6836.246373,2583.195094
71.000,2184.106312,6839.227178,2577.426103
72.000,2181.589809,6842.202247,2571.654798
73.000,2179.071796,6845.171579,2565.881184
74.000,2176.552273,6848.135172,2560.105265
75.000,2174.031242,6851.093021,2554.327047
76.000,2171.508705,6854.045126,2548.546536
77.000,2168.984663,6856.991484,2542.763736
78.000,2166.459117,6859.932092,2536.978652
79.000,2163.932069,6862.866948,2531.191290
80.000,2161.403520,6865.796049,2525.401656
81.000,2158.873472,6868.719394,2519.609753
82.000,2156.341926,6871.636979,2513.815588
83.000,2153.808884,6874.548803,2508.019166
84.000,2151.274346,6877.454863,2502.220491
85.000,2148.738315,6880.355157,2496.419569
86.000,2146.200791,6883.249681,2490.616406
87.000,2143.661777,6886.138435,2484.811006
88.000,2141.121273,6889.021415,2479.003374
