"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-4505.126443,-4785.814320,-3871.471440
1.000,-4504.482928,-4790.526416,-3866.389053
2.000,-4503.836083,-4795.234330,-3861.303193
3.000,-4503.185910,-4799.938059,-3856.213866
4.000,-4502.532408,-4804.637599,-3851.121076
5.000,-4501.875578,-4809.332947,-3846.024828
6.000,-4501.215418,-4814.024099,-3840.925126
7.000,-4500.551930,-4818.711051,-3835.821975
8.000,-4499.885112,-4823.393800,-3830.715379
9.000,-4499.214966,-4828.072342,-3825.605344
10.000,-4498.541491,-4832.746672,-3820.491873
11.000,-4497.864686,-4837.416788,-3815.374971
12.000,-4497.184553,-4842.082686,-3810.254643
13.000,-4496.501091,-4846.744362,-3805.130893
14.000,-4495.814300,-4851.401813,-3800.003727
15.000,-4495.124179,-4856.055034,-3794.873148
16.000,-4494.430730,-4860.704023,-3789.739161
17.000,-4493.733951,-4865.348774,-3784.601771
18.000,-4493.033844,-4869.989286,-3779.460983
19.000,-4492.330408,-4874.625554,-3774.316800
20.000,-4491.623642,-4879.257574,-3769.169229
21.000,-4490.913548,-4883.885343,-3764.018272
22.000,-4490.200124,-4888.508858,-3758.863935
23.000,-4489.483371,-4893.128114,-3753.706223
24.000,-4488.763290,-4897.743107,-3748.545141
25.000,-4488.039879,-4902.353836,-3743.380692
26.000,-4487.313140,-4906.960294,-3738.212881
27.000,-4486.583072,-4911.562480,-3733.041714
28.000,-4485.849674,-4916.160390,-3727.867194
29.000,-4485.112948,-4920.754019,-3722.689327
30.000,-4484.372893,-4925.343364,-3717.508116
31.000,-4483.629509,-4929.928422,-3712.323568
32.000,-4482.882797,-4934.509189,-3707.135685
33.000,-4482.132755,-4939.085661,-3701.944474
34.000,-4481.379385,-4943.657835,-3696.749938
35.000,-4480.622686,-4948.225708,-3691.552083
36.000,-4479.862659,-4952.789275,-3686.350913
37.000,-4479.099303,-4957.348533,-3681.146432
38.000,-4478.332618,-4961.903478,-3675.938646
39.000,-4477.562605,-4966.454107,-3670.727559
40.000,-4476.789264,-4971.000417,-3665.513175
41.000,-4476.012594,-4975.542403,-3660.295500
42.000,-4475.232595,-4980.080063,-3655.074538
43.000,-4474.449269,-4984.613392,-3649.850293
44.000,-4473.662614,-4989.142387,-3644.622771
45.000,-4472.872631,-4993.667045,-3639.391976
46.000,-4472.079321,-4998.187362,-3634.157913
47.000,-4471.282682,-5002.703334,-3628.920587
48.000,-4470.482715,-5007.214957,-3623.680002
49.000,-4469.679420,-5011.722230,-3618.436163
50.000,-4468.872798,-5016.225147,-3613.189074
51.000,-4468.062848,-5020.723705,-3607.938741
52.000,-4467.249570,-5025.217901,-3602.685167
53.000,-4466.432965,-5029.707731,-3597.428359
54.000,-4465.613032,-5034.193192,-3592.168320
55.000,-4464.789772,-5038.674280,-3586.905056
56.000,-4463.963185,-5043.150992,-3581.638570
57.000,-4463.133270,-5047.623324,-3576.368868
58.000,-4462.300029,-5052.091273,-3571.095954
59.000,-4461.463460,-5056.554834,-3565.819834
60.000,-4460.623565,-5061.014006,-3560.540512
61.000,-4459.780343,-5065.468783,-3555.257992
62.000,-4458.933794,-5069.919164,-3549.972279
63.000,-4458.083919,-5074.365143,-3544.683379
64.000,-4457.230717,-5078.806718,-3539.391296
65.000,-4456.374189,-5083.243886,-3534.096034
66.000,-4455.514335,-5087.676642,-3528.797599
67.000,-4454.651155,-5092.104983,-3523.495994
68.000,-4453.784648,-5096.528907,-3518.191226
69.000,-4452.914816,-5100.948408,-3512.883298
70.000,-4452.041658,-5105.363485,-3507.572216
71.000,-4451.165175,-5109.774133,-3502.257984
72.000,-4450.285366,-5114.180349,-3496.940607
