"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,7151.529372,-2444.154172,-1034.510569
1.000,7151.724289,-2440.956200,-1040.695255
2.000,7151.913293,-2437.756077,-1046.879007
3.000,7152.096383,-2434.553806,-1053.061818
4.000,7152.273559,-2431.349388,-1059.243684
5.000,7152.444822,-2428.142825,-1065.424598
6.000,7152.610173,-2424.934119,-1071.604556
7.000,7152.769610,-2421.723273,-1077.783552
8.000,7152.923135,-2418.510288,-1083.961580
9.000,7153.070747,-2415.295167,-1090.138634
10.000,7153.212446,-2412.077911,-1096.314709
11.000,7153.348234,-2408.858522,-1102.489800
12.000,7153.478109,-2405.637002,-1108.663901
13.000,7153.602073,-2402.413354,-1114.837006
14.000,7153.720125,-2399.187580,-1121.009110
15.000,7153.832265,-2395.959680,-1127.180208
16.000,7153.938495,-2392.729658,-1133.350293
17.000,7154.038813,-2389.497516,-1139.519360
18.000,7154.133221,-2386.263255,-1145.687404
19.000,7154.221718,-2383.026877,-1151.854420
20.000,7154.304305,-2379.788384,-1158.020401
21.000,7154.380982,-2376.547780,-1164.185342
22.000,7154.451749,-2373.305064,-1170.349237
23.000,7154.516606,-2370.060241,-1176.512082
24.000,7154.575554,-2366.813310,-1182.673870
25.000,7154.628593,-2363.564276,-1188.834596
26.000,7154.675724,-2360.313139,-1194.994255
27.000,7154.716945,-2357.059901,-1201.152840
28.000,7154.752259,-2353.804566,-1207.310347
29.000,7154.781664,-2350.547134,-1213.466769
30.000,7154.805162,-2347.287607,-1219.622102
31.000,7154.822752,-2344.025989,-1225.776340
32.000,7154.834436,-2340.762281,-1231.929476
33.000,7154.840212,-2337.496484,-1238.081507
34.000,7154.840082,-2334.228601,-1244.232426
35.000,7154.834046,-2330.958634,-1250.382227
36.000,7154.822103,-2327.686586,-1256.530906
37.000,7154.804256,-2324.412457,-1262.678456
38.000,7154.780503,-2321.136251,-1268.824872
39.000,7154.750845,-2317.857969,-1274.970149
40.000,7154.715282,-2314.577613,-1281.114281
41.000,7154.673815,-2311.295185,-1287.257263
42.000,7154.626444,-2308.010688,-1293.399088
43.000,7154.573170,-2304.724123,-1299.539752
44.000,7154.513992,-2301.435493,-1305.679249
45.000,7154.448911,-2298.144799,-1311.817574
46.000,7154.377928,-2294.852044,-1317.954721
47.000,7154.301043,-2291.557230,-1324.090684
48.000,7154.218256,-2288.260358,-1330.225458
49.000,7154.129568,-2284.961431,-1336.359037
50.000,7154.034978,-2281.660452,-1342.491416
51.000,7153.934488,-2278.357421,-1348.622590
52.000,7153.828098,-2275.052342,-1354.752553
53.000,7153.715808,-2271.745215,-1360.881299
54.000,7153.597618,-2268.436044,-1367.008823
55.000,7153.473529,-2265.124831,-1373.135120
56.000,7153.343542,-2261.811576,-1379.260183
57.000,7153.207657,-2258.496284,-1385.384008
58.000,7153.065873,-2255.178955,-1391.506589
59.000,7152.918192,-2251.859592,-1397.627920
60.000,7152.764615,-2248.538196,-1403.747996
61.000,7152.605141,-2245.214771,-1409.866811
62.000,7152.439770,-2241.889317,-1415.984361
63.000,7152.268505,-2238.561838,-1422.100639
64.000,7152.091344,-2235.232335,-1428.215639
65.000,7151.908288,-2231.900810,-1434.329358
66.000,7151.719338,-2228.567266,-1440.441788
67.000,7151.524494,-2225.231704,-1446.552925
68.000,7151.323757,-2221.894127,-1452.662762
69.000,7151.117127,-2218.554537,-1458.771296
70.000,7150.904605,-2215.212936,-1464.878519
71.000,7150.686191,-2211.869325,-1470.984427
72.000,7150.461885,-2208.523708,-1477.089013
73.000,7150.231688,-2205.176086,-1483.192274
74.000,7149.995602,-2201.826462,-1489.294202
75.000,7149.753625,-2198.474837,-1495.394793
76.000,7149.505759,-2195.121213,-1501.494041
77.000,7149.252004,-2191.765594,-1507.591941
78.000,7148.992360,-2188.407980,-1513.688487
79.000,7148.726829,-2185.048374,-1519.783674
80.000,7148.455411,-2181.686779,-1525.877496
81.000,7148.178105,-2178.323196,-1531.969947
82.000,7147.894914,-2174.957627,-1538.061023
83.000,7147.605837,-2171.590075,-1544.150718
84.000,7147.310875,-2168.220541,-1550.239026
85.000,7147.010028,-2164.849028,-1556.325942
86.000,7146.703297,-2161.475539,-1562.411460
87.000,7146.390683,-2158.100074,-1568.495576
88.000,7146.072185,-2154.722637,-1574.578283
89.000,7145.747806,-2151.343229,-1580.659575
90.000,7145.417545,-2147.961853,-1586.739449
91.000,7145.081403,-2144.578511,-1592.817897
92.000,7144.739380,-2141.193204,-1598.894915
93.000,7144.391477,-2137.805936,-1604.970498
94.000,7144.037695,-2134.416708,-1611.044639
95.000,7143.678034,-2131.025522,-1617.117333
96.000,7143.312495,-2127.632381,-1623.188575
97.000,7142.941078,-2124.237286,-1629.258360
98.000,7142.563784,-2120.840240,-1635.326681
99.000,7142.180614,-2117.441246,-1641.393534
100.000,7141.791569,-2114.040304,-1647.458913
101.000,7141.396648,-2110.637418,-1653.522812
102.000,7140.995853,-2107.232590,-1659.585227
103.000,7140.589185,-2103.825821,-1665.646151
104.000,7140.176643,-2100.417114,-1671.705579
105.000,7139.758229,-2097.006472,-1677.763507
106.000,7139.333943,-2093.593895,-1683.819927
107.000,7138.903785,-2090.179388,-1689.874836
108.000,7138.467758,-2086.762950,-1695.928227
