"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-5431.261958,360.752762,-5344.129964
1.000,-5435.184151,356.354115,-5340.436226
2.000,-5439.102138,351.955725,-5336.737691
3.000,-5443.015917,347.557596,-5333.034365
4.000,-5446.925483,343.159732,-5329.326249
5.000,-5450.830834,338.762136,-5325.613347
6.000,-5454.731965,334.364810,-5321.895664
7.000,-5458.628873,329.967759,-5318.173201
8.000,-5462.521555,325.570986,-5314.445962
9.000,-5466.410007,321.174494,-5310.713951
10.000,-5470.294225,316.778286,-5306.977171
11.000,-5474.174207,312.382365,-5303.235626
12.000,-5478.049948,307.986736,-5299.489318
13.000,-5481.921445,303.591401,-5295.738251
14.000,-5485.788695,299.196363,-5291.982429
15.000,-5489.651693,294.801626,-5288.221854
16.000,-5493.510438,290.407193,-5284.456531
17.000,-5497.364924,286.013067,-5280.686462
18.000,-5501.215149,281.619252,-5276.911651
19.000,-5505.061109,277.225751,-5273.132101
20.000,-5508.902801,272.832567,-5269.347817
21.000,-5512.740221,268.439704,-5265.558800
22.000,-5516.573365,264.047165,-5261.765055
23.000,-5520.402231,259.654953,-5257.966585
24.000,-5524.226814,255.263071,-5254.163393
25.000,-5528.047112,250.871523,-5250.355483
26.000,-5531.863121,246.480312,-5246.542858
27.000,-5535.674837,242.089442,-5242.725522
28.000,-5539.482256,237.698915,-5238.903478
29.000,-5543.285377,233.308735,-5235.076729
30.000,-5547.084194,228.918905,-5231.245279
31.000,-5550.878705,224.529428,-5227.409132
32.000,-5554.668906,220.140308,-5223.568290
33.000,-5558.454794,215.751549,-5219.722758
34.000,-5562.236365,211.363152,-5215.872538
35.000,-5566.013616,206.975122,-5212.017634
36.000,-5569.786543,202.587462,-5208.158051
37.000,-5573.555143,198.200175,-5204.293790
38.000,-5577.319413,193.813265,-5200.424855
39.000,-5581.079349,189.426734,-5196.551251
40.000,-5584.834947,185.040587,-5192.672980
41.000,-5588.586205,180.654825,-5188.790047
42.000,-5592.333119,176.269454,-5184.902453
43.000,-5596.075686,171.884475,-5181.010204
44.000,-5599.813902,167.499892,-5177.113302
45.000,-5603.547763,163.115708,-5173.211751
46.000,-5607.277267,158.731927,-5169.305555
47.000,-5611.002409,154.348552,-5165.394717
48.000,-5614.723187,149.965586,-5161.479240
49.000,-5618.439598,145.583033,-5157.559128
50.000,-5622.151637,141.200895,-5153.634384
51.000,-5625.859302,136.819177,-5149.705013
52.000,-5629.562588,132.437881,-5145.771017
53.000,-5633.261494,128.057010,-5141.832401
54.000,-5636.956015,123.676568,-5137.889167
55.000,-5640.646147,119.296558,-5133.941319
56.000,-5644.331889,114.916983,-5129.988861
57.000,-5648.013235,110.537847,-5126.031796
58.000,-5651.690184,106.159153,-5122.070128
59.000,-5655.362731,101.780904,-5118.103860
60.000,-5659.030873,97.403104,-5114.132997
61.000,-5662.694607,93.025755,-5110.157540
62.000,-5666.353930,88.648860,-5106.177495
63.000,-5670.008838,84.272425,-5102.192865
64.000,-5673.659327,79.896450,-5098.203653
65.000,-5677.305396,75.520940,-5094.209863
66.000,-5680.947039,71.145898,-5090.211498
67.000,-5684.584255,66.771328,-5086.208562
68.000,-5688.217039,62.397231,-5082.201058
69.000,-5691.845388,58.023613,-5078.188991
70.000,-5695.469299,53.650475,-5074.172364
71.000,-5699.088769,49.277822,-5070.151180
72.000,-5702.703794,44.905656,-5066.125443
73.000,-5706.314372,40.533980,-5062.095157
74.000,-5709.920498,36.162799,-5058.060325
75.000,-5713.522169,31.792115,-5054.020951
