"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-2502.834244,-2878.223910,-6606.067057
1.000,-2497.621958,-2882.818774,-6606.036222
2.000,-2492.408117,-2887.411830,-6605.999455
3.000,-2487.192725,-2892.003076,-6605.956755
4.000,-2481.975788,-2896.592506,-6605.908123
5.000,-2476.757310,-2901.180117,-6605.853559
6.000,-2471.537295,-2905.765906,-6605.793063
7.000,-2466.315747,-2910.349868,-6605.726635
8.000,-2461.092672,-2914.931999,-6605.654274
9.000,-2455.868072,-2919.512296,-6605.575982
10.000,-2450.641953,-2924.090754,-6605.491758
11.000,-2445.414319,-2928.667371,-6605.401602
12.000,-2440.185175,-2933.242141,-6605.305515
13.000,-2434.954524,-2937.815062,-6605.203496
14.000,-2429.722372,-2942.386128,-6605.095545
15.000,-2424.488723,-2946.955338,-6604.981663
16.000,-2419.253580,-2951.522685,-6604.861849
17.000,-2414.016949,-2956.088168,-6604.736104
18.000,-2408.778833,-2960.651781,-6604.604428
19.000,-2403.539238,-2965.213521,-6604.466822
20.000,-2398.298168,-2969.773384,-6604.323284
21.000,-2393.055626,-2974.331367,-6604.173815
22.000,-2387.811618,-2978.887465,-6604.018416
23.000,-2382.566148,-2983.441674,-6603.857086
24.000,-2377.319220,-2987.993991,-6603.689826
25.000,-2372.070839,-2992.544412,-6603.516636
26.000,-2366.821009,-2997.092934,-6603.337516
27.000,-2361.569734,-3001.639551,-6603.152466
28.000,-2356.317019,-3006.184260,-6602.961486
29.000,-2351.062869,-3010.727058,-6602.764577
30.000,-2345.807287,-3015.267941,-6602.561738
31.000,-2340.550278,-3019.806904,-6602.352970
32.000,-2335.291847,-3024.343945,-6602.138274
33.000,-2330.031998,-3028.879058,-6601.917648
34.000,-2324.770735,-3033.412241,-6601.691094
35.000,-2319.508062,-3037.943489,-6601.458611
36.000,-2314.243985,-3042.472799,-6601.220201
37.000,-2308.978508,-3047.000166,-6600.975862
38.000,-2303.711634,-3051.525588,-6600.725595
39.000,-2298.443369,-3056.049059,-6600.469401
40.000,-2293.173717,-3060.570577,-6600.207280
41.000,-2287.902682,-3065.090137,-6599.939232
42.000,-2282.630268,-3069.607735,-6599.665257
43.000,-2277.356481,-3074.123369,-6599.385355
44.000,-2272.081324,-3078.637033,-6599.099527
45.000,-2266.804802,-3083.148725,-6598.807773
46.000,-2261.526920,-3087.658439,-6598.510093
47.000,-2256.247681,-3092.166173,-6598.206487
48.000,-2250.967090,-3096.671923,-6597.896957
49.000,-2245.685152,-3101.175685,-6597.581501
50.000,-2240.401871,-3105.677454,-6597.260121
51.000,-2235.117251,-3110.177228,-6596.932816
52.000,-2229.831297,-3114.675002,-6596.599587
53.000,-2224.544014,-3119.170772,-6596.260434
54.000,-2219.255405,-3123.664535,-6595.915358
55.000,-2213.965475,-3128.156287,-6595.564359
56.000,-2208.674229,-3132.646024,-6595.207436
57.000,-2203.381671,-3137.133743,-6594.844591
58.000,-2198.087805,-3141.619438,-6594.475824
59.000,-2192.792637,-3146.103108,-6594.101135
60.000,-2187.496169,-3150.584747,-6593.720525
61.000,-2182.198407,-3155.064352,-6593.333993
62.000,-2176.899355,-3159.541919,-6592.941540
63.000,-2171.599018,-3164.017445,-6592.543167
64.000,-2166.297400,-3168.490925,-6592.138873
65.000,-2160.994505,-3172.962356,-6591.728660
66.000,-2155.690338,-3177.431734,-6591.312527
67.000,-2150.384904,-3181.899055,-6590.890475
68.000,-2145.078206,-3186.364316,-6590.462505
69.000,-2139.770249,-3190.827512,-6590.028616
70.000,-2134.461038,-3195.288640,-6589.588810
71.000,-2129.150577,-3199.747695,-6589.143085
72.000,-2123.838870,-3204.204675,-6588.691444
73.000,-2118.525922,-3208.659575,-6588.233886
74.000,-2113.211738,-3213.112392,-6587.770412
75.000,-2107.896321,-3217.563122,-6587.301021
76.000,-2102.579676,-3222.011761,-6586.825716
77.000,-2097.261808,-3226.458304,-6586.344495
78.000,-2091.942722,-3230.902750,-6585.857360
79.000,-2086.622420,-3235.345092,-6585.364310
80.000,-2081.300909,-3239.785329,-6584.865347
81.000,-2075.978192,-3244.223456,-6584.360470
82.000,-2070.654274,-3248.659469,-6583.849681
83.000,-2065.329160,-3253.093364,-6583.332979
84.000,-2060.002853,-3257.525138,-6582.810366
85.000,-2054.675358,-3261.954787,-6582.281841
86.000,-2049.346679,-3266.382308,-6581.747405
87.000,-2044.016822,-3270.807695,-6581.207058
88.000,-2038.685791,-3275.230946,-6580.660802
89.000,-2033.353589,-3279.652057,-6580.108636
90.000,-2028.020222,-3284.071024,-6579.550561
91.000,-2022.685693,-3288.487843,-6578.986577
92.000,-2017.350008,-3292.902511,-6578.416686
93.000,-2012.013170,-3297.315023,-6577.840887
94.000,-2006.675185,-3301.725377,-6577.259181
95.000,-2001.336056,-3306.133567,-6576.671568
96.000,-1995.995789,-3310.539591,-6576.078050
97.000,-1990.654386,-3314.943444,-6575.478626
98.000,-1985.311854,-3319.345124,-6574.873298
99.000,-1979.968197,-3323.744625,-6574.262065
100.000,-1974.623418,-3328.141945,-6573.644928
101.000,-1969.277522,-3332.537080,-6573.021888
102.000,-1963.930514,-3336.930025,-6572.392946
103.000,-1958.582399,-3341.320777,-6571.758101
104.000,-1953.233180,-3345.709333,-6571.117355
105.000,-1947.882862,-3350.095688,-6570.470708
106.000,-1942.531450,-3354.479839,-6569.818161
107.000,-1937.178948,-3358.861782,-6569.159714
108.000,-1931.825360,-3363.241514,-6568.495367
109.000,-1926.470691,-3367.619030,-6567.825122
110.000,-1921.114946,-3371.994326,-6567.148980
111.000,-1915.758128,-3376.367400,-6566.466939
112.000,-1910.400243,-3380.738247,-6565.779002
113.000,-1905.041294,-3385.106864,-6565.085169
114.000,-1899.681287,-3389.473246,-6564.385441
115.000,-1894.320225,-3393.837391,-6563.679817
116.000,-1888.958114,-3398.199293,-6562.968299
117.000,-1883.594957,-3402.558951,-6562.250888
118.000,-1878.230759,-3406.916359,-6561.527583
119.000,-1872.865524,-3411.271515,-6560.798387
120.000,-1867.499258,-3415.624413,-6560.063298
121.000,-1862.131964,-3419.975052,-6559.322319
122.000,-1856.763646,-3424.323426,-6558.575449
123.000,-1851.394311,-3428.669533,-6557.822690
124.000,-1846.023960,-3433.013368,-6557.064042
125.000,-1840.652600,-3437.354928,-6556.299505
126.000,-1835.280235,-3441.694208,-6555.529080
127.000,-1829.906869,-3446.031206,-6554.752769
128.000,-1824.532507,-3450.365918,-6553.970572
129.000,-1819.157152,-3454.698339,-6553.182489
130.000,-1813.780811,-3459.028467,-6552.388521
131.000,-1808.403486,-3463.356297,-6551.588669
132.000,-1803.025182,-3467.681825,-6550.782933
133.000,-1797.645905,-3472.005049,-6549.971315
134.000,-1792.265658,-3476.325963,-6549.153815
135.000,-1786.884446,-3480.644566,-6548.330434
136.000,-1781.502273,-3484.960852,-6547.501173
137.000,-1776.119144,-3489.274818,-6546.666031
138.000,-1770.735063,-3493.586460,-6545.825011
