"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,5947.669315,-5242.103753,30.565527
1.000,5947.996498,-5241.687041,37.562122
2.000,5948.319025,-5241.266220,44.558686
3.000,5948.636897,-5240.841289,51.555215
4.000,5948.950114,-5240.412248,58.551702
5.000,5949.258676,-5239.979097,65.548143
6.000,5949.562584,-5239.541835,72.544532
7.000,5949.861838,-5239.100462,79.540862
8.000,5950.156439,-5238.654977,86.537129
9.000,5950.446386,-5238.205381,93.533327
10.000,5950.731680,-5237.751673,100.529450
11.000,5951.012322,-5237.293853,107.525494
12.000,5951.288312,-5236.831920,114.521451
13.000,5951.559650,-5236.365874,121.517317
14.000,5951.826336,-5235.895715,128.513085
15.000,5952.088372,-5235.421442,135.508751
16.000,5952.345757,-5234.943056,142.504309
17.000,5952.598492,-5234.460555,149.499754
18.000,5952.846578,-5233.973940,156.495079
19.000,5953.090014,-5233.483210,163.490278
20.000,5953.328801,-5232.988365,170.485348
21.000,5953.562939,-5232.489405,177.480281
22.000,5953.792429,-5231.986329,184.475073
23.000,5954.017272,-5231.479137,191.469717
24.000,5954.237468,-5230.967829,198.464208
25.000,5954.453016,-5230.452404,205.458541
26.000,5954.663918,-5229.932863,212.452710
27.000,5954.870175,-5229.409205,219.446710
28.000,5955.071785,-5228.881430,226.440534
29.000,5955.268751,-5228.349537,233.434177
30.000,5955.461072,-5227.813526,240.427634
31.000,5955.648749,-5227.273397,247.420899
32.000,5955.831782,-5226.729150,254.413967
33.000,5956.010171,-5226.180785,261.406831
34.000,5956.183918,-5225.628301,268.399487
35.000,5956.353023,-5225.071697,275.391928
36.000,5956.517486,-5224.510975,282.384150
37.000,5956.677307,-5223.946133,289.376146
38.000,5956.832487,-5223.377171,296.367911
39.000,5956.983027,-5222.804090,303.359440
40.000,5957.128927,-5222.226888,310.350726
41.000,5957.270187,-5221.645566,317.341765
42.000,5957.406808,-5221.060123,324.332550
43.000,5957.538791,-5220.470559,331.323076
44.000,5957.666136,-5219.876875,338.313338
45.000,5957.788843,-5219.279069,345.303329
46.000,5957.906913,-5218.677142,352.293045
47.000,5958.020347,-5218.071093,359.282480
48.000,5958.129145,-5217.460922,366.271628
49.000,5958.233307,-5216.846630,373.260483
50.000,5958.332835,-5216.228215,380.249041
51.000,5958.427727,-5215.605678,387.237295
52.000,5958.517986,-5214.979018,394.225239
53.000,5958.603612,-5214.348235,401.212869
54.000,5958.684605,-5213.713330,408.200179
55.000,5958.760965,-5213.074301,415.187163
56.000,5958.832694,-5212.431149,422.173815
57.000,5958.899792,-5211.783874,429.160130
58.000,5958.962258,-5211.132475,436.146103
59.000,5959.020095,-5210.476952,443.131727
60.000,5959.073302,-5209.817306,450.116998
61.000,5959.121880,-5209.153535,457.101909
62.000,5959.165830,-5208.485640,464.086455
63.000,5959.205152,-5207.813621,471.070631
64.000,5959.239847,-5207.137477,478.054431
65.000,5959.269915,-5206.457208,485.037849
66.000,5959.295356,-5205.772815,492.020880
67.000,5959.316173,-5205.084297,499.003518
68.000,5959.332364,-5204.391653,505.985758
69.000,5959.343931,-5203.694885,512.967593
70.000,5959.350874,-5202.993991,519.949020
71.000,5959.353194,-5202.288972,526.930031
72.000,5959.350891,-5201.579827,533.910621
73.000,5959.343966,-5200.866557,540.890785
74.000,5959.332420,-5200.149161,547.870517
75.000,5959.316253,-5199.427639,554.849812
76.000,5959.295466,-5198.701991,561.828664
77.000,5959.270060,-5197.972217,568.807067
78.000,5959.240035,-5197.238316,575.785017
79.000,5959.205391,-5196.500290,582.762506
80.000,5959.166130,-5195.758137,589.739531
81.000,5959.122251,-5195.011858,596.716084
82.000,5959.073757,-5194.261452,603.692161
83.000,5959.020646,-5193.506919,610.667756
84.000,5958.962921,-5192.748260,617.642864
85.000,5958.900581,-5191.985474,624.617478
86.000,5958.833627,-5191.218562,631.591594
87.000,5958.762060,-5190.447522,638.565206
88.000,5958.685881,-5189.672356,645.538307
89.000,5958.605090,-5188.893062,652.510894
90.000,5958.519688,-5188.109641,659.482959
91.000,5958.429675,-5187.322094,666.454498
92.000,5958.335052,-5186.530419,673.425505
93.000,5958.235821,-5185.734617,680.395974
94.000,5958.131981,-5184.934687,687.365900
95.000,5958.023533,-5184.130631,694.335278
96.000,5957.910478,-5183.322447,701.304100
97.000,5957.792817,-5182.510135,708.272364
98.000,5957.670550,-5181.693697,715.240061
99.000,5957.543678,-5180.873130,722.207188
100.000,5957.412202,-5180.048437,729.173738
101.000,5957.276122,-5179.219616,736.139705
102.000,5957.135440,-5178.386667,743.105086
103.000,5956.990155,-5177.549591,750.069872
104.000,5956.840269,-5176.708388,757.034060
105.000,5956.685782,-5175.863057,763.997644
106.000,5956.526696,-5175.013598,770.960618
