"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,437.139280,-7343.532776,-2017.401722
1.000,440.430588,-7344.972608,-2011.435401
2.000,443.721291,-7346.406368,-2005.467273
3.000,447.011388,-7347.834054,-1999.497345
4.000,450.300877,-7349.255664,-1993.525621
5.000,453.589755,-7350.671197,-1987.552106
6.000,456.878021,-7352.080653,-1981.576807
7.000,460.165672,-7353.484028,-1975.599729
8.000,463.452707,-7354.881324,-1969.620876
9.000,466.739124,-7356.272537,-1963.640254
10.000,470.024920,-7357.657666,-1957.657870
11.000,473.310093,-7359.036711,-1951.673727
12.000,476.594642,-7360.409669,-1945.687832
13.000,479.878564,-7361.776540,-1939.700189
14.000,483.161857,-7363.137323,-1933.710805
15.000,486.444519,-7364.492015,-1927.719684
16.000,489.726549,-7365.840616,-1921.726832
17.000,493.007944,-7367.183124,-1915.732254
18.000,496.288702,-7368.519539,-1909.735956
19.000,499.568821,-7369.849858,-1903.737943
20.000,502.848300,-7371.174081,-1897.738220
21.000,506.127135,-7372.492205,-1891.736793
22.000,509.405325,-7373.804231,-1885.733668
23.000,512.682869,-7375.110157,-1879.728849
24.000,515.959763,-7376.409980,-1873.722342
25.000,519.236006,-7377.703701,-1867.714152
26.000,522.511596,-7378.991318,-1861.704286
27.000,525.786531,-7380.272830,-1855.692747
28.000,529.060809,-7381.548235,-1849.679542
29.000,532.334428,-7382.817532,-1843.664676
30.000,535.607385,-7384.080720,-1837.648154
31.000,538.879680,-7385.337798,-1831.629983
32.000,542.151309,-7386.588764,-1825.610166
33.000,545.422270,-7387.833618,-1819.588710
34.000,548.692563,-7389.072358,-1813.565620
35.000,551.962184,-7390.304982,-1807.540901
36.000,555.231132,-7391.531490,-1801.514559
37.000,558.499404,-7392.751881,-1795.486600
38.000,561.767000,-7393.966153,-1789.457028
39.000,565.033915,-7395.174305,-1783.425849
40.000,568.300150,-7396.376336,-1777.393069
41.000,571.565700,-7397.572245,-1771.358692
42.000,574.830566,-7398.762031,-1765.322725
43.000,578.094744,-7399.945692,-1759.285173
44.000,581.358233,-7401.123227,-1753.246040
45.000,584.621030,-7402.294635,-1747.205334
46.000,587.883133,-7403.459915,-1741.163058
47.000,591.144541,-7404.619066,-1735.119219
48.000,594.405252,-7405.772087,-1729.073821
49.000,597.665263,-7406.918977,-1723.026871
50.000,600.924573,-7408.059733,-1716.978374
51.000,604.183179,-7409.194356,-1710.928334
52.000,607.441079,-7410.322845,-1704.876759
53.000,610.698272,-7411.445197,-1698.823652
54.000,613.954755,-7412.561413,-1692.769020
55.000,617.210527,-7413.671490,-1686.712868
56.000,620.465585,-7414.775428,-1680.655201
57.000,623.719928,-7415.873226,-1674.596024
58.000,626.973553,-7416.964882,-1668.535344
59.000,630.226459,-7418.050396,-1662.473166
60.000,633.478643,-7419.129766,-1656.409495
61.000,636.730103,-7420.202992,-1650.344336
62.000,639.980838,-7421.270072,-1644.277695
63.000,643.230845,-7422.331005,-1638.209578
64.000,646.480123,-7423.385791,-1632.139989
65.000,649.728669,-7424.434427,-1626.068935
66.000,652.976481,-7425.476914,-1619.996421
67.000,656.223558,-7426.513250,-1613.922452
68.000,659.469898,-7427.543434,-1607.847034
69.000,662.715498,-7428.567465,-1601.770171
70.000,665.960356,-7429.585342,-1595.691871
71.000,669.204471,-7430.597064,-1589.612137
72.000,672.447840,-7431.602629,-1583.530976
73.000,675.690462,-7432.602038,-1577.448393
74.000,678.932334,-7433.595289,-1571.364394
75.000,682.173455,-7434.582381,-1565.278983
76.000,685.413822,-7435.563312,-1559.192167
77.000,688.653434,-7436.538083,-1553.103950
78.000,691.892288,-7437.506692,-1547.014339
79.000,695.130383,-7438.469137,-1540.923339
80.000,698.367717,-7439.425419,-1534.830954
81.000,701.604287,-7440.375536,-1528.737192
82.000,704.840092,-7441.319487,-1522.642057
83.000,708.075129,-7442.257271,-1516.545554
84.000,711.309397,-7443.188887,-1510.447690
85.000,714.542893,-7444.114335,-1504.348469
86.000,717.775617,-7445.033613,-1498.247897
87.000,721.007565,-7445.946720,-1492.145980
88.000,724.238736,-7446.853656,-1486.042723
89.000,727.469127,-7447.754419,-1479.938131
90.000,730.698737,-7448.649009,-1473.832211
91.000,733.927564,-7449.537425,-1467.724967
92.000,737.155606,-7450.419665,-1461.616405
93.000,740.382861,-7451.295730,-1455.506530
94.000,743.609327,-7452.165617,-1449.395348
95.000,746.835001,-7453.029327,-1443.282865
96.000,750.059883,-7453.886857,-1437.169086
97.000,753.283969,-7454.738208,-1431.054016
98.000,756.507258,-7455.583379,-1424.937661
99.000,759.729749,-7456.422368,-1418.820026
100.000,762.951438,-7457.255175,-1412.701118
101.000,766.172325,-7458.081799,-1406.580940
102.000,769.392406,-7458.902239,-1400.459500
103.000,772.611681,-7459.716494,-1394.336802
104.000,775.830147,-7460.524563,-1388.212852
105.000,779.047802,-7461.326445,-1382.087655
106.000,782.264645,-7462.122141,-1375.961217
107.000,785.480673,-7462.911648,-1369.833544
108.000,788.695884,-7463.694966,-1363.704640
109.000,791.910276,-7464.472095,-1357.574512
110.000,795.123848,-7465.243032,-1351.443164
111.000,798.336598,-7466.007778,-1345.310604
112.000,801.548522,-7466.766332,-1339.176835
113.000,804.759621,-7467.518693,-1333.041863
114.000,807.969891,-7468.264860,-1326.905694
115.000,811.179331,-7469.004833,-1320.768334
116.000,814.387938,-7469.738610,-1314.629788
117.000,817.595711,-7470.466191,-1308.490061
118.000,820.802648,-7471.187574,-1302.349159
119.000,824.008746,-7471.902761,-1296.207088
120.000,827.214005,-7472.611748,-1290.063852
121.000,830.418421,-7473.314536,-1283.919458
122.000,833.621994,-7474.011125,-1277.773912
123.000,836.824720,-7474.701512,-1271.627217
124.000,840.026598,-7475.385698,-1265.479381
125.000,843.227627,-7476.063682,-1259.330409
126.000,846.427804,-7476.735463,-1253.180305
127.000,849.627127,-7477.401040,-1247.029076
128.000,852.825594,-7478.060413,-1240.876728
129.000,856.023204,-7478.713581,-1234.723265
130.000,859.219954,-7479.360543,-1228.568693
131.000,862.415842,-7480.001298,-1222.413018
132.000,865.610867,-7480.635846,-1216.256245
133.000,868.805027,-7481.264186,-1210.098380
134.000,871.998319,-7481.886318,-1203.939428
135.000,875.190742,-7482.502240,-1197.779396
136.000,878.382294,-7483.111953,-1191.618287
137.000,881.572972,-7483.715454,-1185.456109
138.000,884.762776,-7484.312745,-1179.292866
139.000,887.951702,-7484.903823,-1173.128564
140.000,891.139749,-7485.488689,-1166.963208
141.000,894.326916,-7486.067341,-1160.796805
142.000,897.513199,-7486.639780,-1154.629359
143.000,900.698598,-7487.206004,-1148.460876
144.000,903.883111,-7487.766012,-1142.291362
145.000,907.066734,-7488.319805,-1136.120823
146.000,910.249467,-7488.867382,-1129.949263
147.000,913.431308,-7489.408741,-1123.776688
148.000,916.612254,-7489.943883,-1117.603104
149.000,919.792303,-7490.472806,-1111.428517
150.000,922.971455,-7490.995511,-1105.252931
151.000,926.149706,-7491.511996,-1099.076353
152.000,929.327055,-7492.022261,-1092.898788
153.000,932.503501,-7492.526305,-1086.720242
154.000,935.679040,-7493.024128,-1080.540719
155.000,938.853671,-7493.515729,-1074.360226
156.000,942.027393,-7494.001108,-1068.178769
157.000,945.200202,-7494.480263,-1061.996352
158.000,948.372099,-7494.953195,-1055.812982
159.000,951.543079,-7495.419903,-1049.628664
160.000,954.713142,-7495.880387,-1043.443403
161.000,957.882286,-7496.334645,-1037.257204
162.000,961.050509,-7496.782677,-1031.070075
163.000,964.217808,-7497.224483,-1024.882020
164.000,967.384182,-7497.660063,-1018.693044
165.000,970.549629,-7498.089415,-1012.503153
166.000,973.714148,-7498.512539,-1006.312353
167.000,976.877735,-7498.929435,-1000.120650
168.000,980.040390,-7499.340102,-993.928048
169.000,983.202110,-7499.744539,-987.734554
170.000,986.362893,-7500.142747,-981.540173
171.000,989.522738,-7500.534724,-975.344911
172.000,992.681642,-7500.920471,-969.148772
173.000,995.839604,-7501.299986,-962.951764
174.000,998.996622,-7501.673269,-956.753890
175.000,1002.152694,-7502.040320,-950.555158
176.000,1005.307818,-7502.401138,-944.355571
177.000,1008.461992,-7502.755723,-938.155137
178.000,1011.615215,-7503.104074,-931.953860
179.000,1014.767483,-7503.446192,-925.751747
180.000,1017.918796,-7503.782074,-919.548802
181.000,1021.069152,-7504.111722,-913.345031
182.000,1024.218548,-7504.435134,-907.140440
183.000,1027.366982,-7504.752310,-900.935035
184.000,1030.514454,-7505.063250,-894.728820
185.000,1033.660961,-7505.367953,-888.521802
186.000,1036.806500,-7505.666420,-882.313986
187.000,1039.951071,-7505.958648,-876.105378
188.000,1043.094671,-7506.244639,-869.895983
189.000,1046.237298,-7506.524391,-863.685807
190.000,1049.378951,-7506.797905,-857.474855
