"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-3834.037820,-910.222137,-6531.471790
1.000,-3830.952478,-916.375946,-6532.421628
2.000,-3827.864620,-922.529390,-6533.365600
3.000,-3824.774250,-928.682464,-6534.303705
4.000,-3821.681369,-934.835163,-6535.235942
5.000,-3818.585982,-940.987483,-6536.162310
6.000,-3815.488089,-947.139418,-6537.082809
7.000,-3812.387695,-953.290962,-6537.997438
8.000,-3809.284801,-959.442112,-6538.906195
9.000,-3806.179411,-965.592861,-6539.809081
10.000,-3803.071527,-971.743204,-6540.706093
11.000,-3799.961151,-977.893137,-6541.597232
12.000,-3796.848288,-984.042654,-6542.482497
13.000,-3793.732939,-990.191751,-6543.361886
14.000,-3790.615107,-996.340421,-6544.235400
15.000,-3787.494794,-1002.488660,-6545.103037
16.000,-3784.372005,-1008.636463,-6545.964796
17.000,-3781.246740,-1014.783825,-6546.820677
18.000,-3778.119003,-1020.930740,-6547.670678
19.000,-3774.988797,-1027.077204,-6548.514800
20.000,-3771.856125,-1033.223211,-6549.353041
21.000,-3768.720988,-1039.368756,-6550.185401
22.000,-3765.583391,-1045.513834,-6551.011879
23.000,-3762.443335,-1051.658440,-6551.832474
24.000,-3759.300823,-1057.802569,-6552.647185
25.000,-3756.155859,-1063.946216,-6553.456013
26.000,-3753.008444,-1070.089375,-6554.258954
27.000,-3749.858581,-1076.232041,-6555.056011
28.000,-3746.706274,-1082.374210,-6555.847180
29.000,-3743.551525,-1088.515876,-6556.632463
30.000,-3740.394337,-1094.657034,-6557.411858
31.000,-3737.234712,-1100.797679,-6558.185364
32.000,-3734.072654,-1106.937805,-6558.952981
33.000,-3730.908164,-1113.077409,-6559.714707
34.000,-3727.741247,-1119.216484,-6560.470543
35.000,-3724.571903,-1125.355025,-6561.220488
36.000,-3721.400137,-1131.493028,-6561.964541
37.000,-3718.225951,-1137.630487,-6562.702701
38.000,-3715.049348,-1143.767397,-6563.434968
39.000,-3711.870330,-1149.903753,-6564.161340
40.000,-3708.688900,-1156.039549,-6564.881818
41.000,-3705.505062,-1162.174782,-6565.596401
42.000,-3702.318817,-1168.309445,-6566.305088
43.000,-3699.130169,-1174.443533,-6567.007878
44.000,-3695.939120,-1180.577042,-6567.704771
45.000,-3692.745673,-1186.709966,-6568.395766
46.000,-3689.549831,-1192.842300,-6569.080863
47.000,-3686.351596,-1198.974039,-6569.760061
48.000,-3683.150972,-1205.105178,-6570.433359
49.000,-3679.947961,-1211.235711,-6571.100756
50.000,-3676.742566,-1217.365635,-6571.762253
51.000,-3673.534789,-1223.494942,-6572.417848
52.000,-3670.324634,-1229.623629,-6573.067541
53.000,-3667.112103,-1235.751690,-6573.711332
54.000,-3663.897199,-1241.879121,-6574.349219
55.000,-3660.679925,-1248.005915,-6574.981203
56.000,-3657.460283,-1254.132068,-6575.607282
57.000,-3654.238277,-1260.257575,-6576.227456
58.000,-3651.013908,-1266.382431,-6576.841725
59.000,-3647.787181,-1272.506630,-6577.450087
60.000,-3644.558097,-1278.630167,-6578.052543
61.000,-3641.326660,-1284.753038,-6578.649092
62.000,-3638.092872,-1290.875237,-6579.239733
