"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-5280.503066,3682.286493,-4627.354519
1.000,-5277.684920,3679.230495,-4632.996993
2.000,-5274.863037,3676.171167,-4638.635768
3.000,-5272.037417,3673.108511,-4644.270839
4.000,-5269.208064,3670.042529,-4649.902203
5.000,-5266.374982,3666.973223,-4655.529854
6.000,-5263.538171,3663.900595,-4661.153789
7.000,-5260.697636,3660.824646,-4666.774002
8.000,-5257.853378,3657.745379,-4672.390489
9.000,-5255.005402,3654.662795,-4678.003247
10.000,-5252.153708,3651.576896,-4683.612269
11.000,-5249.298301,3648.487685,-4689.217552
12.000,-5246.439182,3645.395163,-4694.819092
13.000,-5243.576355,3642.299332,-4700.416883
14.000,-5240.709823,3639.200193,-4706.010922
15.000,-5237.839588,3636.097750,-4711.601203
16.000,-5234.965652,3632.992003,-4717.187723
17.000,-5232.088019,3629.882955,-4722.770477
18.000,-5229.206692,3626.770608,-4728.349461
19.000,-5226.321673,3623.654963,-4733.924669
20.000,-5223.432964,3620.536022,-4739.496098
21.000,-5220.540570,3617.413788,-4745.063744
22.000,-5217.644492,3614.288263,-4750.627601
23.000,-5214.744733,3611.159447,-4756.187665
24.000,-5211.841296,3608.027344,-4761.743932
25.000,-5208.934184,3604.891955,-4767.296398
26.000,-5206.023400,3601.753283,-4772.845057
27.000,-5203.108946,3598.611328,-4778.389906
28.000,-5200.190826,3595.466093,-4783.930940
29.000,-5197.269041,3592.317580,-4789.468155
30.000,-5194.343595,3589.165792,-4795.001546
31.000,-5191.414491,3586.010729,-4800.531109
32.000,-5188.481731,3582.852394,-4806.056839
33.000,-5185.545318,3579.690789,-4811.578733
34.000,-5182.605256,3576.525915,-4817.096785
35.000,-5179.661546,3573.357776,-4822.610991
36.000,-5176.714191,3570.186372,-4828.121347
37.000,-5173.763196,3567.011706,-4833.627848
38.000,-5170.808561,3563.833780,-4839.130490
39.000,-5167.850291,3560.652596,-4844.629269
40.000,-5164.888387,3557.468155,-4850.124181
41.000,-5161.922853,3554.280460,-4855.615220
42.000,-5158.953692,3551.089513,-4861.102382
43.000,-5155.980906,3547.895316,-4866.585664
44.000,-5153.004498,3544.697870,-4872.065060
45.000,-5150.024471,3541.497178,-4877.540566
46.000,-5147.040828,3538.293242,-4883.012179
47.000,-5144.053572,3535.086063,-4888.479893
48.000,-5141.062706,3531.875644,-4893.943704
49.000,-5138.068231,3528.661987,-4899.403608
50.000,-5135.070152,3525.445094,-4904.859601
51.000,-5132.068472,3522.224967,-4910.311678
52.000,-5129.063192,3519.001608,-4915.759835
53.000,-5126.054316,3515.775018,-4921.204067
54.000,-5123.041846,3512.545201,-4926.644370
55.000,-5120.025787,3509.312157,-4932.080739
56.000,-5117.006139,3506.075889,-4937.513172
57.000,-5113.982907,3502.836400,-4942.941662
58.000,-5110.956093,3499.593690,-4948.366206
59.000,-5107.925700,3496.347763,-4953.786800
60.000,-5104.891731,3493.098620,-4959.203438
61.000,-5101.854188,3489.846263,-4964.616117
62.000,-5098.813075,3486.590695,-4970.024833
63.000,-5095.768395,3483.331916,-4975.429581
64.000,-5092.720150,3480.069931,-4980.830357
65.000,-5089.668344,3476.804739,-4986.227156
66.000,-5086.612978,3473.536345,-4991.619974
67.000,-5083.554057,3470.264749,-4997.008807
68.000,-5080.491582,3466.989953,-5002.393651
69.000,-5077.425558,3463.711961,-5007.774501
70.000,-5074.355986,3460.430773,-5013.151353
71.000,-5071.282870,3457.146392,-5018.524202
72.000,-5068.206212,3453.858821,-5023.893045
73.000,-5065.126016,3450.568060,-5029.257878
74.000,-5062.042284,3447.274113,-5034.618695
75.000,-5058.955019,3443.976981,-5039.975492
76.000,-5055.864225,3440.676666,-5045.328266
77.000,-5052.769904,3437.373171,-5050.677012
78.000,-5049.672058,3434.066498,-5056.021725
79.000,-5046.570692,3430.756648,-5061.362402
80.000,-5043.465808,3427.443624,-5066.699038
81.000,-5040.357408,3424.127428,-5072.031629
82.000,-5037.245496,3420.808062,-5077.360171
83.000,-5034.130075,3417.485529,-5082.684659
84.000,-5031.011147,3414.159829,-5088.005089
85.000,-5027.888716,3410.830966,-5093.321458
86.000,-5024.762784,3407.498942,-5098.633760
87.000,-5021.633355,3404.163758,-5103.941991
88.000,-5018.500431,3400.825418,-5109.246147
89.000,-5015.364015,3397.483922,-5114.546225
90.000,-5012.224111,3394.139273,-5119.842219
91.000,-5009.080720,3390.791474,-5125.134126
92.000,-5005.933847,3387.440526,-5130.421941
93.000,-5002.783494,3384.086431,-5135.705660
94.000,-4999.629664,3380.729192,-5140.985279
95.000,-4996.472360,3377.368811,-5146.260793
96.000,-4993.311585,3374.005290,-5151.532199
97.000,-4990.147342,3370.638632,-5156.799493
98.000,-4986.979634,3367.268837,-5162.062669
99.000,-4983.808464,3363.895909,-5167.321724
100.000,-4980.633835,3360.519850,-5172.576653
101.000,-4977.455749,3357.140661,-5177.827453
102.000,-4974.274210,3353.758346,-5183.074119
103.000,-4971.089222,3350.372906,-5188.316648
104.000,-4967.900785,3346.984343,-5193.555034
105.000,-4964.708905,3343.592660,-5198.789273
106.000,-4961.513583,3340.197858,-5204.019362
107.000,-4958.314823,3336.799940,-5209.245297
108.000,-4955.112628,3333.398909,-5214.467072
109.000,-4951.907001,3329.994766,-5219.684685
110.000,-4948.697944,3326.587513,-5224.898130
111.000,-4945.485461,3323.177153,-5230.107404
112.000,-4942.269554,3319.763688,-5235.312503
113.000,-4939.050228,3316.347120,-5240.513421
114.000,-4935.827484,3312.927452,-5245.710156
115.000,-4932.601325,3309.504685,-5250.902703
116.000,-4929.371756,3306.078821,-5256.091058
117.000,-4926.138778,3302.649864,-5261.275216
118.000,-4922.902395,3299.217815,-5266.455174
119.000,-4919.662610,3295.782677,-5271.630928
120.000,-4916.419426,3292.344451,-5276.802473
121.000,-4913.172845,3288.903140,-5281.969805
122.000,-4909.922872,3285.458746,-5287.132920
123.000,-4906.669508,3282.011271,-5292.291814
124.000,-4903.412757,3278.560718,-5297.446483
125.000,-4900.152622,3275.107089,-5302.596923
126.000,-4896.889106,3271.650386,-5307.743129
127.000,-4893.622213,3268.190611,-5312.885097
128.000,-4890.351944,3264.727767,-5318.022825
129.000,-4887.078303,3261.261856,-5323.156306
130.000,-4883.801293,3257.792880,-5328.285537
131.000,-4880.520918,3254.320841,-5333.410515
132.000,-4877.237180,3250.845742,-5338.531235
133.000,-4873.950082,3247.367585,-5343.647692
134.000,-4870.659628,3243.886371,-5348.759884
135.000,-4867.365820,3240.402105,-5353.867805
136.000,-4864.068661,3236.914786,-5358.971451
137.000,-4860.768155,3233.424419,-5364.070820
138.000,-4857.464304,3229.931005,-5369.165906
139.000,-4854.157113,3226.434547,-5374.256705
140.000,-4850.846582,3222.935047,-5379.343214
141.000,-4847.532717,3219.432506,-5384.425428
142.000,-4844.215520,3215.926928,-5389.503343
143.000,-4840.894993,3212.418315,-5394.576956
144.000,-4837.571140,3208.906668,-5399.646261
145.000,-4834.243965,3205.391991,-5404.711256
146.000,-4830.913470,3201.874286,-5409.771936
147.000,-4827.579658,3198.353554,-5414.828297
148.000,-4824.242532,3194.829798,-5419.880335
149.000,-4820.902096,3191.303021,-5424.928046
150.000,-4817.558352,3187.773225,-5429.971425
151.000,-4814.211304,3184.240412,-5435.010470
152.000,-4810.860954,3180.704585,-5440.045176
153.000,-4807.507307,3177.165745,-5445.075538
154.000,-4804.150364,3173.623895,-5450.101554
155.000,-4800.790129,3170.079038,-5455.123218
156.000,-4797.426605,3166.531175,-5460.140527
157.000,-4794.059796,3162.980310,-5465.153477
158.000,-4790.689704,3159.426444,-5470.162063
159.000,-4787.316332,3155.869580,-5475.166283
160.000,-4783.939684,3152.309719,-5480.166131
161.000,-4780.559763,3148.746866,-5485.161604
162.000,-4777.176571,3145.181021,-5490.152698
163.000,-4773.790112,3141.612187,-5495.139409
164.000,-4770.400390,3138.040367,-5500.121732
165.000,-4767.007406,3134.465562,-5505.099665
166.000,-4763.611165,3130.887776,-5510.073202
167.000,-4760.211669,3127.307010,-5515.042341
168.000,-4756.808921,3123.723268,-5520.007076
169.000,-4753.402926,3120.136550,-5524.967405
170.000,-4749.993685,3116.546861,-5529.923322
171.000,-4746.581202,3112.954201,-5534.874825
172.000,-4743.165480,3109.358574,-5539.821909
173.000,-4739.746522,3105.759981,-5544.764570
174.000,-4736.324332,3102.158426,-5549.702804
175.000,-4732.898912,3098.553910,-5554.636608
176.000,-4729.470266,3094.946437,-5559.565977
177.000,-4726.038397,3091.336007,-5564.490907
178.000,-4722.603307,3087.722624,-5569.411395
179.000,-4719.165001,3084.106291,-5574.327437
180.000,-4715.723481,3080.487009,-5579.239028
181.000,-4712.278751,3076.864781,-5584.146165
182.000,-4708.830813,3073.239609,-5589.048843
183.000,-4705.379671,3069.611496,-5593.947060
184.000,-4701.925327,3065.980444,-5598.840811
185.000,-4698.467786,3062.346456,-5603.730091
186.000,-4695.007050,3058.709534,-5608.614898
187.000,-4691.543123,3055.069680,-5613.495227
