"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-4123.972356,2550.522941,-5888.646604
1.000,-4129.709396,2547.822810,-5885.794197
2.000,-4135.443146,2545.121248,-5882.936504
3.000,-4141.173603,2542.418256,-5880.073528
4.000,-4146.900760,2539.713836,-5877.205272
5.000,-4152.624613,2537.007990,-5874.331739
6.000,-4158.345156,2534.300721,-5871.452930
7.000,-4164.062386,2531.592030,-5868.568848
8.000,-4169.776298,2528.881918,-5865.679497
9.000,-4175.486885,2526.170389,-5862.784878
10.000,-4181.194144,2523.457444,-5859.884995
11.000,-4186.898069,2520.743084,-5856.979849
12.000,-4192.598656,2518.027312,-5854.069444
13.000,-4198.295900,2515.310130,-5851.153782
14.000,-4203.989796,2512.591539,-5848.232865
15.000,-4209.680339,2509.871542,-5845.306697
16.000,-4215.367523,2507.150140,-5842.375280
17.000,-4221.051346,2504.427336,-5839.438616
18.000,-4226.731800,2501.703131,-5836.496708
19.000,-4232.408882,2498.977527,-5833.549559
20.000,-4238.082587,2496.250527,-5830.597172
21.000,-4243.752910,2493.522131,-5827.639549
22.000,-4249.419845,2490.792343,-5824.676693
23.000,-4255.083389,2488.061164,-5821.708606
24.000,-4260.743536,2485.328596,-5818.735291
25.000,-4266.400281,2482.594640,-5815.756751
26.000,-4272.053620,2479.859300,-5812.772988
27.000,-4277.703547,2477.122576,-5809.784006
28.000,-4283.350059,2474.384471,-5806.789806
29.000,-4288.993149,2471.644987,-5803.790392
30.000,-4294.632814,2468.904125,-5800.785766
31.000,-4300.269048,2466.161888,-5797.775931
32.000,-4305.901847,2463.418278,-5794.760890
33.000,-4311.531205,2460.673295,-5791.740644
34.000,-4317.157118,2457.926944,-5788.715198
35.000,-4322.779582,2455.179224,-5785.684554
36.000,-4328.398590,2452.430139,-5782.648714
37.000,-4334.014139,2449.679690,-5779.607681
38.000,-4339.626224,2446.927879,-5776.561458
39.000,-4345.234839,2444.174708,-5773.510048
40.000,-4350.839981,2441.420180,-5770.453453
41.000,-4356.441644,2438.664295,-5767.391677
42.000,-4362.039823,2435.907057,-5764.324721
43.000,-4367.634513,2433.148466,-5761.252589
44.000,-4373.225711,2430.388525,-5758.175283
45.000,-4378.813410,2427.627236,-5755.092806
46.000,-4384.397607,2424.864601,-5752.005162
47.000,-4389.978296,2422.100621,-5748.912352
48.000,-4395.555473,2419.335299,-5745.814379
49.000,-4401.129133,2416.568637,-5742.711247
50.000,-4406.699271,2413.800636,-5739.602958
51.000,-4412.265882,2411.031299,-5736.489515
52.000,-4417.828962,2408.260627,-5733.370920
53.000,-4423.388506,2405.488623,-5730.247177
54.000,-4428.944508,2402.715288,-5727.118288
55.000,-4434.496965,2399.940624,-5723.984256
56.000,-4440.045871,2397.164634,-5720.845083
57.000,-4445.591222,2394.387319,-5717.700774
58.000,-4451.133013,2391.608681,-5714.551330
59.000,-4456.671240,2388.828722,-5711.396755
60.000,-4462.205896,2386.047445,-5708.237050
61.000,-4467.736979,2383.264850,-5705.072220
62.000,-4473.264482,2380.480941,-5701.902266
63.000,-4478.788402,2377.695718,-5698.727192
64.000,-4484.308733,2374.909185,-5695.547001
65.000,-4489.825471,2372.121342,-5692.361695
66.000,-4495.338611,2369.332192,-5689.171277
67.000,-4500.848149,2366.541738,-5685.975751
68.000,-4506.354079,2363.749979,-5682.775118
69.000,-4511.856396,2360.956920,-5679.569383
70.000,-4517.355097,2358.162561,-5676.358547
71.000,-4522.850177,2355.366906,-5673.142613
72.000,-4528.341630,2352.569954,-5669.921586
73.000,-4533.829452,2349.771709,-5666.695466
74.000,-4539.313638,2346.972173,-5663.464258
75.000,-4544.794184,2344.171348,-5660.227964
76.000,-4550.271085,2341.369235,-5656.986588
77.000,-4555.744336,2338.565836,-5653.740131
78.000,-4561.213932,2335.761154,-5650.488597
79.000,-4566.679870,2332.955190,-5647.231989
80.000,-4572.142143,2330.147947,-5643.970310
81.000,-4577.600748,2327.339425,-5640.703563
82.000,-4583.055679,2324.529629,-5637.431750
83.000,-4588.506933,2321.718558,-5634.154875
84.000,-4593.954504,2318.906216,-5630.872940
85.000,-4599.398388,2316.092604,-5627.585949
86.000,-4604.838579,2313.277724,-5624.293904
87.000,-4610.275074,2310.461578,-5620.996809
88.000,-4615.707868,2307.644168,-5617.694666
89.000,-4621.136956,2304.825497,-5614.387478
90.000,-4626.562333,2302.005565,-5611.075249
91.000,-4631.983995,2299.184375,-5607.757981
92.000,-4637.401936,2296.361930,-5604.435677
93.000,-4642.816154,2293.538230,-5601.108340
94.000,-4648.226642,2290.713279,-5597.775974
95.000,-4653.633396,2287.887077,-5594.438581
96.000,-4659.036411,2285.059627,-5591.096163
97.000,-4664.435684,2282.230931,-5587.748726
98.000,-4669.831208,2279.400991,-5584.396270
99.000,-4675.222980,2276.569809,-5581.038799
100.000,-4680.610995,2273.737387,-5577.676317
101.000,-4685.995248,2270.903726,-5574.308826
102.000,-4691.375735,2268.068829,-5570.936329
103.000,-4696.752451,2265.232698,-5567.558830
104.000,-4702.125392,2262.395334,-5564.176331
105.000,-4707.494552,2259.556740,-5560.788835
106.000,-4712.859928,2256.716918,-5557.396346
107.000,-4718.221514,2253.875869,-5553.998866
108.000,-4723.579306,2251.033596,-5550.596399
109.000,-4728.933299,2248.190101,-5547.188947
110.000,-4734.283489,2245.345385,-5543.776514
111.000,-4739.629872,2242.499451,-5540.359102
112.000,-4744.972442,2239.652300,-5536.936716
113.000,-4750.311195,2236.803935,-5533.509357
114.000,-4755.646126,2233.954357,-5530.077029
115.000,-4760.977231,2231.103569,-5526.639735
116.000,-4766.304506,2228.251572,-5523.197478
117.000,-4771.627945,2225.398369,-5519.750262
118.000,-4776.947544,2222.543961,-5516.298088
119.000,-4782.263299,2219.688350,-5512.840961
120.000,-4787.575204,2216.831539,-5509.378883
121.000,-4792.883257,2213.973529,-5505.911858
122.000,-4798.187451,2211.114323,-5502.439889
123.000,-4803.487782,2208.253921,-5498.962979
124.000,-4808.784246,2205.392328,-5495.481130
125.000,-4814.076838,2202.529543,-5491.994346
126.000,-4819.365554,2199.665570,-5488.502631
127.000,-4824.650388,2196.800410,-5485.005987
128.000,-4829.931338,2193.934066,-5481.504418
129.000,-4835.208397,2191.066538,-5477.997926
130.000,-4840.481562,2188.197830,-5474.486515
131.000,-4845.750827,2185.327943,-5470.970187
132.000,-4851.016189,2182.456880,-5467.448947
133.000,-4856.277643,2179.584641,-5463.922797
134.000,-4861.535185,2176.711230,-5460.391741
135.000,-4866.788809,2173.836648,-5456.855781
136.000,-4872.038511,2170.960897,-5453.314920
137.000,-4877.284287,2168.083979,-5449.769163
138.000,-4882.526133,2165.205897,-5446.218512
139.000,-4887.764043,2162.326652,-5442.662970
140.000,-4892.998013,2159.446245,-5439.102541
141.000,-4898.228039,2156.564680,-5435.537227
142.000,-4903.454117,2153.681958,-5431.967032
143.000,-4908.676241,2150.798082,-5428.391959
144.000,-4913.894408,2147.913052,-5424.812012
145.000,-4919.108612,2145.026871,-5421.227193
146.000,-4924.318849,2142.139542,-5417.637506
147.000,-4929.525116,2139.251065,-5414.042953
148.000,-4934.727407,2136.361444,-5410.443539
149.000,-4939.925717,2133.470680,-5406.839267
150.000,-4945.120043,2130.578775,-5403.230139
151.000,-4950.310380,2127.685731,-5399.616159
152.000,-4955.496723,2124.791550,-5395.997330
153.000,-4960.679069,2121.896234,-5392.373655
154.000,-4965.857412,2118.999785,-5388.745139
155.000,-4971.031748,2116.102205,-5385.111783
156.000,-4976.202072,2113.203496,-5381.473591
157.000,-4981.368381,2110.303661,-5377.830567
158.000,-4986.530669,2107.402700,-5374.182713
159.000,-4991.688933,2104.500617,-5370.530033
160.000,-4996.843168,2101.597412,-5366.872531
161.000,-5001.993369,2098.693089,-5363.210209
162.000,-5007.139532,2095.787648,-5359.543071
163.000,-5012.281653,2092.881093,-5355.871120
164.000,-5017.419726,2089.973425,-5352.194360
165.000,-5022.553749,2087.064645,-5348.512793
166.000,-5027.683715,2084.154757,-5344.826424
167.000,-5032.809622,2081.243762,-5341.135254
168.000,-5037.931464,2078.331662,-5337.439289
169.000,-5043.049237,2075.418459,-5333.738530
170.000,-5048.162936,2072.504155,-5330.032982
171.000,-5053.272558,2069.588752,-5326.322647
172.000,-5058.378098,2066.672252,-5322.607529
173.000,-5063.479551,2063.754658,-5318.887632
174.000,-5068.576913,2060.835970,-5315.162958
175.000,-5073.670180,2057.916191,-5311.433511
176.000,-5078.759347,2054.995324,-5307.699295
177.000,-5083.844410,2052.073369,-5303.960312
178.000,-5088.925365,2049.150330,-5300.216566
179.000,-5094.002207,2046.226208,-5296.468061
180.000,-5099.074931,2043.301005,-5292.714799
181.000,-5104.143534,2040.374723,-5288.956785
182.000,-5109.208011,2037.447364,-5285.194021
183.000,-5114.268357,2034.518930,-5281.426511
184.000,-5119.324569,2031.589423,-5277.654258
