"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-2367.444136,-6605.850861,2991.056128
1.000,-2365.021727,-6609.240478,2985.479297
2.000,-2362.597704,-6612.624551,2979.899785
3.000,-2360.172069,-6616.003078,2974.317597
4.000,-2357.744823,-6619.376056,2968.732739
5.000,-2355.315968,-6622.743481,2963.145214
6.000,-2352.885505,-6626.105353,2957.555028
7.000,-2350.453436,-6629.461667,2951.962186
8.000,-2348.019760,-6632.812420,2946.366694
9.000,-2345.584481,-6636.157611,2940.768555
10.000,-2343.147599,-6639.497236,2935.167776
11.000,-2340.709116,-6642.831293,2929.564360
12.000,-2338.269033,-6646.159778,2923.958314
13.000,-2335.827351,-6649.482690,2918.349642
14.000,-2333.384073,-6652.800025,2912.738350
15.000,-2330.939198,-6656.111780,2907.124441
16.000,-2328.492729,-6659.417954,2901.507922
17.000,-2326.044666,-6662.718542,2895.888798
18.000,-2323.595012,-6666.013543,2890.267073
19.000,-2321.143768,-6669.302954,2884.642752
20.000,-2318.690934,-6672.586772,2879.015841
21.000,-2316.236513,-6675.864995,2873.386344
22.000,-2313.780505,-6679.137619,2867.754267
23.000,-2311.322913,-6682.404642,2862.119615
24.000,-2308.863737,-6685.666061,2856.482392
25.000,-2306.402979,-6688.921874,2850.842605
26.000,-2303.940640,-6692.172078,2845.200257
27.000,-2301.476721,-6695.416670,2839.555354
28.000,-2299.011225,-6698.655648,2833.907901
29.000,-2296.544151,-6701.889009,2828.257903
30.000,-2294.075503,-6705.116750,2822.605366
31.000,-2291.605280,-6708.338868,2816.950293
32.000,-2289.133485,-6711.555362,2811.292691
33.000,-2286.660119,-6714.766228,2805.632565
34.000,-2284.185183,-6717.971464,2799.969919
35.000,-2281.708679,-6721.171067,2794.304758
36.000,-2279.230607,-6724.365035,2788.637088
37.000,-2276.750970,-6727.553364,2782.966914
38.000,-2274.269769,-6730.736053,2777.294241
39.000,-2271.787005,-6733.913098,2771.619073
40.000,-2269.302679,-6737.084497,2765.941417
41.000,-2266.816793,-6740.250248,2760.261277
42.000,-2264.329349,-6743.410347,2754.578657
43.000,-2261.840347,-6746.564793,2748.893565
44.000,-2259.349789,-6749.713582,2743.206003
45.000,-2256.857677,-6752.856713,2737.515979
46.000,-2254.364011,-6755.994182,2731.823496
47.000,-2251.868794,-6759.125987,2726.128559
48.000,-2249.372027,-6762.252125,2720.431175
49.000,-2246.873710,-6765.372594,2714.731347
50.000,-2244.373846,-6768.487391,2709.029082
51.000,-2241.872436,-6771.596514,2703.324384
52.000,-2239.369481,-6774.699960,2697.617258
53.000,-2236.864982,-6777.797727,2691.907710
54.000,-2234.358942,-6780.889811,2686.195744
55.000,-2231.851361,-6783.976211,2680.481366
56.000,-2229.342241,-6787.056925,2674.764581
57.000,-2226.831583,-6790.131948,2669.045394
58.000,-2224.319389,-6793.201280,2663.323810
59.000,-2221.805660,-6796.264917,2657.599835
60.000,-2219.290397,-6799.322857,2651.873472
61.000,-2216.773602,-6802.375097,2646.144729
62.000,-2214.255277,-6805.421635,2640.413609
63.000,-2211.735422,-6808.462469,2634.680118
64.000,-2209.214039,-6811.497596,2628.944261
65.000,-2206.691130,-6814.527013,2623.206043
66.000,-2204.166695,-6817.550718,2617.465469
67.000,-2201.640737,-6820.568708,2611.722545
68.000,-2199.113257,-6823.580982,2605.977275
69.000,-2196.584256,-6826.587536,2600.229665
70.000,-2194.053735,-6829.588368,2594.479721
71.000,-2191.521697,-6832.583476,2588.727446
72.000,-2188.988142,-6835.572857,2582.972846
73.000,-2186.453072,-6838.556509,2577.215927
74.000,-2183.916488,-6841.534429,2571.456694
75.000,-2181.378391,-6844.506615,2565.695151
76.000,-2178.838784,-6847.473064,2559.931304
77.000,-2176.297667,-6850.433774,2554.165159
78.000,-2173.755043,-6853.388743,2548.396719
79.000,-2171.210911,-6856.337968,2542.625992
80.000,-2168.665275,-6859.281447,2536.852980
81.000,-2166.118134,-6862.219177,2531.077691
