"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-2932.471579,-7813.956191,1752.660769
1.000,-2929.486547,-7816.256184,1747.389062
2.000,-2926.499984,-7818.551629,1742.116230
3.000,-2923.511891,-7820.842526,1736.842279
4.000,-2920.522268,-7823.128873,1731.567210
5.000,-2917.531119,-7825.410670,1726.291027
6.000,-2914.538442,-7827.687914,1721.013734
7.000,-2911.544241,-7829.960606,1715.735335
8.000,-2908.548516,-7832.228742,1710.455831
9.000,-2905.551268,-7834.492323,1705.175228
10.000,-2902.552499,-7836.751347,1699.893527
11.000,-2899.552210,-7839.005813,1694.610734
12.000,-2896.550402,-7841.255719,1689.326850
13.000,-2893.547076,-7843.501065,1684.041880
14.000,-2890.542234,-7845.741849,1678.755827
15.000,-2887.535877,-7847.978070,1673.468694
16.000,-2884.528005,-7850.209726,1668.180485
17.000,-2881.518621,-7852.436818,1662.891203
18.000,-2878.507726,-7854.659342,1657.600851
19.000,-2875.495321,-7856.877299,1652.309433
20.000,-2872.481406,-7859.090687,1647.016952
21.000,-2869.465984,-7861.299504,1641.723412
22.000,-2866.449056,-7863.503750,1636.428817
23.000,-2863.430622,-7865.703424,1631.133168
24.000,-2860.410685,-7867.898523,1625.836471
25.000,-2857.389245,-7870.089048,1620.538727
26.000,-2854.366303,-7872.274997,1615.239942
27.000,-2851.341862,-7874.456368,1609.940117
28.000,-2848.315921,-7876.633161,1604.639257
29.000,-2845.288483,-7878.805375,1599.337365
30.000,-2842.259549,-7880.973007,1594.034445
31.000,-2839.229119,-7883.136058,1588.730499
32.000,-2836.197196,-7885.294525,1583.425531
33.000,-2833.163780,-7887.448408,1578.119545
34.000,-2830.128872,-7889.597706,1572.812544
35.000,-2827.092475,-7891.742417,1567.504531
36.000,-2824.054589,-7893.882540,1562.195510
37.000,-2821.015216,-7896.018075,1556.885484
38.000,-2817.974356,-7898.149019,1551.574457
39.000,-2814.932011,-7900.275372,1546.262432
40.000,-2811.888182,-7902.397133,1540.949412
41.000,-2808.842871,-7904.514301,1535.635402
42.000,-2805.796079,-7906.626873,1530.320403
43.000,-2802.747807,-7908.734851,1525.004420
44.000,-2799.698056,-7910.838231,1519.687457
45.000,-2796.646828,-7912.937013,1514.369516
46.000,-2793.594124,-7915.031197,1509.050601
47.000,-2790.539945,-7917.120780,1503.730715
48.000,-2787.484292,-7919.205762,1498.409863
49.000,-2784.427167,-7921.286141,1493.088046
50.000,-2781.368572,-7923.361917,1487.765269
51.000,-2778.308506,-7925.433088,1482.441536
52.000,-2775.246972,-7927.499653,1477.116848
53.000,-2772.183971,-7929.561612,1471.791211
54.000,-2769.119503,-7931.618962,1466.464627
55.000,-2766.053572,-7933.671704,1461.137100
56.000,-2762.986176,-7935.719835,1455.808633
57.000,-2759.917319,-7937.763355,1450.479230
58.000,-2756.847001,-7939.802263,1445.148894
59.000,-2753.775224,-7941.836558,1439.817628
60.000,-2750.701988,-7943.866237,1434.485436
61.000,-2747.627295,-7945.891302,1429.152322
62.000,-2744.551147,-7947.911749,1423.818288
63.000,-2741.473544,-7949.927579,1418.483339
64.000,-2738.394488,-7951.938790,1413.147477
65.000,-2735.313981,-7953.945381,1407.810707
66.000,-2732.232023,-7955.947352,1402.473031
67.000,-2729.148615,-7957.944700,1397.134453
68.000,-2726.063760,-7959.937425,1391.794976
69.000,-2722.977458,-7961.925526,1386.454604
70.000,-2719.889711,-7963.909002,1381.113340
71.000,-2716.800520,-7965.887852,1375.771188
72.000,-2713.709885,-7967.862074,1370.428152
73.000,-2710.617810,-7969.831668,1365.084233
74.000,-2707.524294,-7971.796633,1359.739437
75.000,-2704.429339,-7973.756967,1354.393766
76.000,-2701.332947,-7975.712669,1349.047224
77.000,-2698.235119,-7977.663740,1343.699815
78.000,-2695.135855,-7979.610176,1338.351541
79.000,-2692.035158,-7981.551979,1333.002406
80.000,-2688.933028,-7983.489145,1327.652414
81.000,-2685.829467,-7985.421675,1322.301568
82.000,-2682.724476,-7987.349567,1316.949872
83.000,-2679.618057,-7989.272821,1311.597328
84.000,-2676.510211,-7991.191435,1306.243941
85.000,-2673.400938,-7993.105408,1300.889714
86.000,-2670.290241,-7995.014740,1295.534650
87.000,-2667.178121,-7996.919428,1290.178753
88.000,-2664.064579,-7998.819474,1284.822026
89.000,-2660.949616,-8000.714874,1279.464473
90.000,-2657.833234,-8002.605629,1274.106096
91.000,-2654.715433,-8004.491737,1268.746900
92.000,-2651.596216,-8006.373197,1263.386889
93.000,-2648.475583,-8008.250008,1258.026064
94.000,-2645.353536,-8010.122170,1252.664431
95.000,-2642.230077,-8011.989681,1247.301991
96.000,-2639.105205,-8013.852541,1241.938750
97.000,-2635.978924,-8015.710748,1236.574710
98.000,-2632.851233,-8017.564301,1231.209874
99.000,-2629.722135,-8019.413200,1225.844247
100.000,-2626.591631,-8021.257443,1220.477831
101.000,-2623.459721,-8023.097029,1215.110630
102.000,-2620.326408,-8024.931958,1209.742647
103.000,-2617.191693,-8026.762229,1204.373887
104.000,-2614.055576,-8028.587840,1199.004351
105.000,-2610.918060,-8030.408790,1193.634045
106.000,-2607.779145,-8032.225080,1188.262971
107.000,-2604.638834,-8034.036707,1182.891133
