"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-5193.209912,-3320.795871,-5893.386656
1.000,-5192.607654,-3326.618083,-5890.633121
2.000,-5192.002939,-3332.438262,-5887.875798
3.000,-5191.395765,-3338.256404,-5885.114687
4.000,-5190.786135,-3344.072507,-5882.349791
5.000,-5190.174046,-3349.886566,-5879.581112
6.000,-5189.559501,-3355.698579,-5876.808651
7.000,-5188.942498,-3361.508542,-5874.032411
8.000,-5188.323038,-3367.316452,-5871.252392
9.000,-5187.701121,-3373.122305,-5868.468598
10.000,-5187.076747,-3378.926098,-5865.681029
11.000,-5186.449917,-3384.727829,-5862.889687
12.000,-5185.820629,-3390.527492,-5860.094574
13.000,-5185.188885,-3396.325086,-5857.295693
14.000,-5184.554684,-3402.120606,-5854.493044
15.000,-5183.918026,-3407.914050,-5851.686630
16.000,-5183.278913,-3413.705413,-5848.876452
17.000,-5182.637343,-3419.494694,-5846.062513
18.000,-5181.993316,-3425.281888,-5843.244813
19.000,-5181.346834,-3431.066992,-5840.423356
20.000,-5180.697896,-3436.850003,-5837.598142
21.000,-5180.046502,-3442.630917,-5834.769173
22.000,-5179.392652,-3448.409731,-5831.936452
23.000,-5178.736347,-3454.186442,-5829.099979
24.000,-5178.077585,-3459.961046,-5826.259758
25.000,-5177.416369,-3465.733541,-5823.415789
26.000,-5176.752697,-3471.503922,-5820.568075
27.000,-5176.086570,-3477.272187,-5817.716618
28.000,-5175.417988,-3483.038332,-5814.861418
29.000,-5174.746951,-3488.802354,-5812.002479
30.000,-5174.073459,-3494.564250,-5809.139801
31.000,-5173.397513,-3500.324015,-5806.273388
32.000,-5172.719112,-3506.081648,-5803.403240
33.000,-5172.038256,-3511.837144,-5800.529359
34.000,-5171.354946,-3517.590500,-5797.651748
35.000,-5170.669182,-3523.341713,-5794.770408
36.000,-5169.980963,-3529.090780,-5791.885340
37.000,-5169.290291,-3534.837698,-5788.996548
38.000,-5168.597164,-3540.582462,-5786.104032
39.000,-5167.901584,-3546.325070,-5783.207795
40.000,-5167.203550,-3552.065519,-5780.307839
41.000,-5166.503063,-3557.803804,-5777.404164
42.000,-5165.800123,-3563.539924,-5774.496774
43.000,-5165.094729,-3569.273874,-5771.585670
44.000,-5164.386882,-3575.005651,-5768.670854
45.000,-5163.676582,-3580.735253,-5765.752327
