Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
MIST_AND_CLOUD,TRADE_OFF,100,1779.8655,1.2954,239.09,0.174,1400,1301,99,84,0,15,0,625,579,0,0,775,722,1963.0,723.0,1963.0,5645.450000000086,0.0,0.0,197.65014855036853,1.0504,1.7211,0,1.0542,10.4977,0.1029,0.2233,0.2233,0,0,10.2744,0.1027,0,33.5926,99.6848,-1.0,[99.89616295470773- 99.61743025326084- 99.91559056223763- 99.60577034922837- 99.90936784416037- 99.91550304642331- 99.60540041450253- 99.9084879735807- 99.92599767473558- 99.9280794074074- 99.61740651652232- 99.89630437385705- 99.59424295331213- 99.90661255787008- 99.9084809900104- 99.9083898497171- 99.92831828547259- 99.92590987988734- 99.92813997981631- 99.92808080717111- 99.61764717532552- 99.63024262695765- 99.6061366924734- 99.89615594604068- 99.88391014259572- 99.92814026190806- 99.90834572967783- 99.92590909052443- 99.6158465611425- 99.90683737510949- 99.47776294978252- 99.48685251087386- 99.47778272044285- 99.439941676552- 99.47745650454725- 99.47807928034794- 99.48210755239224- 99.48623962040332- 99.4873962040332- 99.47337633451957- 99.48744563068406- 99.47805950968763- 99.46871293001188- 99.48744563068406- 99.48744563068406- 99.47687327006722- 99.46399021352313- 99.47794088572559- 99.48685251087386- 99.46871293001188],[]
MIST_AND_CLOUD,TRADE_OFF,200,4971.365,1.8543,619.54,0.2311,2800,2527,273,195,0,78,0,778,713,0,0,2022,1814,4382.0,1277.0,4382.0,14036.749999999874,0.0,0.0,210.04330166540032,1.672,3.0325,0,1.6736,21.8336,0.1081,0.37,0.37,0,0,21.4636,0.1073,0,33.5876,99.6669,-1.0,[99.5917009724951- 99.65242857928897- 99.66101770142288- 99.88362669627652- 99.90078380070584- 99.90851484695786- 99.57586483260582- 99.8956774074074- 99.64010038777629- 99.591851453978- 99.91556203012136- 99.9258508753517- 99.92725306744283- 99.92802175213241- 99.91350910332879- 99.90801010788746- 99.92599924140586- 99.62764557058459- 99.92826096413205- 99.89038203986557- 99.60366855622118- 99.90793650676193- 99.88193284461485- 99.90304173025821- 99.56816657888683- 99.88151204986923- 99.90651420769579- 99.90649508911201- 99.89056624297868- 99.60467090100101- 99.90304144437593- 99.58110000421298- 99.8960332394275- 99.88846066089101- 99.60164332760108- 99.92817178125087- 99.64875612721765- 99.90099224518008- 99.60457550615614- 99.92517006006773- 99.88971952661421- 99.89702950293349- 99.68543984056186- 99.9088769443754- 99.89631312224591- 99.90013176526043- 99.6302015170598- 99.90960460108208- 99.64023718748966- 99.63666555605575- 99.59151556936067- 99.89616517286028- 99.91336131142049- 99.90652695755932- 99.89896324228758- 99.62824670382408- 99.9218041556774- 99.60315906711458- 99.8830056761548- 99.67644446308906- 99.46782325029656- 99.47758501383946- 99.43296510478449- 99.47607255832344- 99.46752669039145- 99.48737643337287- 99.48744563068406- 99.48328390668247- 99.48740608936338- 99.48744563068406- 99.46869315935152- 99.4078316528272- 99.46284351522341- 99.43124752866746- 99.47278321470937- 99.48685251087386- 99.47570680110717- 99.48070630684064- 99.48744563068406- 99.43940786872282- 99.48271302886516- 99.48329379201265- 99.46806049822062- 99.48614076710162- 99.48642744167655- 99.40255535784895- 99.42185152234084- 99.48625939106365- 99.47807928034794- 99.47076660735469- 99.46782325029656- 99.48624950573348- 99.40253558718862- 99.46772439699487- 99.46391113088177- 99.48668446026096- 99.46456109134046- 99.45816034005536- 99.48730723606168- 99.43266854487939],[]
MIST_AND_CLOUD,TRADE_OFF,300,7289.224,1.8454,524.8629,0.1329,4200,3728,472,313,0,159,0,804,737,0,0,3396,2991,7338.0,1709.0,7338.0,20655.69999999916,0.0,0.0,232.9134459644098,1.4861,2.9095,0,1.4863,32.7857,0.1086,0.364,0.364,0,0,32.4217,0.1081,0,33.5861,99.6618,-1.0,[99.91574064939209- 99.6162005461934- 99.62185428627076- 99.56551296559125- 99.89561327344842- 99.89432238103203- 99.62777870517387- 99.568850590574- 99.61522418813331- 99.59249655088054- 99.8840622764824- 99.91339492595085- 99.62771247719549- 99.60232194027218- 99.90316161713969- 99.92591135459821- 99.66388608823911- 99.92820341160518- 99.9084419053212- 99.90286866417796- 99.90238552631197- 99.59166873230875- 99.91128044582314- 99.91145901225296- 99.90653506830986- 99.88835250294727- 99.90630362127824- 99.89316001596102- 99.90099249045815- 99.89228308754443- 99.9237399593071- 99.89226655442064- 99.59857009146894- 99.92186534202517- 99.65780778084594- 99.91574371056737- 99.61835872906872- 99.66453909457363- 99.57955974700258- 99.86943124119229- 99.90090177920382- 99.65361306937602- 99.89067142353912- 99.90475896489016- 99.6595282149842- 99.90638315725533- 99.61639662323415- 99.89424268286533- 99.89441279552935- 99.60480275062771- 99.92397552838797- 99.90292591456794- 99.63707626703693- 99.65227790274386- 99.92409566905435- 99.86950880503395- 99.6020048712193- 99.91957393561175- 99.92391761416015- 99.89569518625937- 99.88570257395361- 99.9034157811869- 99.91351098272712- 99.88188100492115- 99.90881451799126- 99.89983593086193- 99.62606486869858- 99.6736047817871- 99.6284915342161- 99.91348256825208- 99.61570073972409- 99.62707086115734- 99.88414191725533- 99.58673077028797- 99.90863380588674- 99.90861594530719- 99.61492362788125- 99.90832385020587- 99.61464441758616- 99.59032688129982- 99.62402471187855- 99.90445766006383- 99.9195734686903- 99.90731681892177- 99.92591199595238- 99.6729460299508- 99.90450861647874- 99.90678545163941- 99.6373755845652- 99.90467442766429- 99.48219652036377- 99.48294780545669- 99.46171658758402- 99.45901047844998- 99.47908511269276- 99.47649515618821- 99.42940885725584- 99.45843712930012- 99.4534771648873- 99.48744563068406- 99.47629744958482- 99.45812079873467- 99.47627026492684- 99.48051848556742- 99.4728029853697- 99.47709074733096- 99.47773329379201- 99.41929122182681- 99.41247528667458- 99.47920373665481- 99.48525108738632- 99.47702155001977- 99.473314551206- 99.42625790826412- 99.47043050612889- 99.47169335705813- 99.43503113879004- 99.45815045472519- 99.41132858837486- 99.47915431000395- 99.43619513641755- 99.4575054369316- 99.48259440490312- 99.4496045867932- 99.45686536180308- 99.4077327995255- 99.48620007908264- 99.48074584816133- 99.37913948200871- 99.48683274021352- 99.47219009489918- 99.48613088177144- 99.48676354290234- 99.41452896401739- 99.46792210359827- 99.47949041122975- 99.45873368920522- 99.46604389086595- 99.4640297548438- 99.46865361803084- 99.48091389877422- 99.46456109134046- 99.44877421905892- 99.47772093712929- 99.48329379201265- 99.48142793594305- 99.47920373665481- 99.46811981020166- 99.47800761170423- 99.43387455516014],[]
